row_no	review_status	review_focus	review_question	zaza_lerch	kurmanji_lerch	german	english	turkish	notes
33	not_flagged			Pé̱li teíride mú’i siaí é̱sti.	Lepêre wêda pêre reš hênin.	Er hat schwarze Federn in den Flügeln.	It has black feathers in its wings.	Kanatlarında siyah tüyler vardır.	
34	not_flagged			Dā́rede vé̱lgō té̱ze, gíli hi̥šni é̱sti.	Dâre pêre hêšin hênin, gilî gir hênin.	Der Baum hat grüne Blätter und dicke Aeste.	The tree has green leaves and thick branches.	Ağacın yeşil yaprakları ve kalın dalları vardır.	
35	not_flagged			Ē̱no’e teir nā́kure bāryék é̱sta, bṓ’et̮e qí̥lma é̱sta.	Va teira nekûlki wi derêž heiye, bôṭa wi qîme.	Dieser Vogel hat einen spitzen Schnabel und kurzen Schwanz.	This bird has a pointed beak and a short tail.	Bu kuşun sivri gagası ve kısa kuyruğu vardır.	Final review reads `bo???et?e`; earlier crops made this word difficult to confirm.
36	not_flagged			Halyẹ̄́ne wẹ̄́da h̔áki sepī́ é̱sti.	Hêlîna wida hêki sepî hênin.	In seinem Neste hat er weisse Eier.	In its nest it has white eggs.	Yuvasında beyaz yumurtaları vardır.	
37	not_flagged			Adí̥r ve̱šén’u, du, qí̥le, ko̤mṳ́r me̱ vién’i.	Âr dešâü'te, em tutüne, gôri, rêšu debînin.	Das Feuer brennt: wir sehen den Rauch, die Flamme und die Kohlen.	The fire burns: we see the smoke, the flame, and the coals.	Ateş yanar: dumanı, alevi ve kömürleri görürüz.	
38	not_flagged			É̱n’a lā́de aúke lé̱ze šuén’a.	De ṭaida av zü derê.	Das Wasser in dem Flusse fliesst geschwinde.	The water in the river flows quickly.	Nehirdeki su hızlı akar.	
39	not_flagged			Āšme e̱stárera pī́la, rṓd̮era qí̮d̮a.	Hîv že istîrkân girtere, ž röe putüktere.	Der Mond ist grösser als die Sterne und kleiner als die Sonne.	The moon is larger than the stars and smaller than the sun.	Ay yıldızlardan büyüktür ve güneşten küçüktür.	Russian scan is partly clipped at the bottom; German witness appears to read `q??d?a`, though `q??d?a` may be expected.
40	not_flagged			Vizyẹ̄́ri šā́nde varán varā́.	Dö evârî barân bârî.	Gestern Abend fiel Regen.	Yesterday evening rain fell.	Dün akşam yağmur yağdı.	
41	not_flagged			Eíru sebá me múndiai aíšma fátma día.	Irö sebeda pista fâtinân nêbia me dî.	Heute Morgen sah ich den Regenbogen.	This morning I saw the rainbow.	Bu sabah gökkuşağını gördüm.	
42	not_flagged			Šau tārī́u, rōd̮ rṓštu.	Be şev târîe, be rö roanîke.	Des Nachts ist es finster und am Tage hell.	At night it is dark and by day bright.	Gece karanlıktır, gündüz aydınlıktır.	
43	not_flagged			Mā kā́li bekí zazád̮e.	Em be kurmândî debin (debêžin).	Wir reden kurdisch (Kurmändi-Zazä).	We speak Zaza.	Zazaca konuşuyoruz.	"Zaza line specifically says ""in Zaza."""
44	not_flagged			Ši̥mā zazád̮a záni?	Hun be kurmândî zânin?	Versteht ihr kurdisch (Kurmändi-Zazä) zu sprechen?	Do you know how to speak Zaza?	Zazaca konuşmayı biliyor musunuz?	Zaza line specifically asks about knowing Zaza.
