row_id	entry_id	source_page	raw_lerch_headword	corrected_lerch_headword	corrected_headword_source	modern_zazaki_guess	proposed_group_headword	group_source	german_gloss_raw	german_gloss_clean	english_gloss	english_gloss_source	turkish_gloss	turkish_gloss_source	existing_parent	entry_review_status	correction_confidence	notes
11	lerch_glossary_p197_r0011:entry	197	andün’a	andün’a	raw_extraction	andüna	andün-	verb_present_stem_guess	(ich) ziehe heraus. and, zog heraus,	(ich) ziehe heraus. and, zog heraus,						ocr_extracted	low	
12	lerch_glossary_p197_r0012:entry	197	dya	dya	raw_extraction	dya	dya	self	jener, e, es, 64.13.	jener, e, es, 64. 13.						ocr_extracted	low	
13	lerch_glossary_p197_r0013:entry	197	Adär	Adär	raw_extraction	Adar	adar	existing_parent	Monatsname; s. Abth. S. xv.	Monatsname; s. Abth. S. xv.	month name	rule_guess_from_german	mart, yılın üçüncü ayı adar helnena, nisun naseinena,	matched_harun_headword	adar	headword_parented	medium	
14	lerch_glossary_p197_r0014:entry	197	adjr	adjr	raw_extraction	adjr	adjr	self	Feuer. Vgl. Krm. ayjr.	Feuer. Vgl. Krm. ayjr.	fire	rule_guess_from_german	ateş	rule_guess_from_german		ocr_extracted	low	
15	lerch_glossary_p197_r0015:entry	197	äna	ā́na	text_form_match	ana	ana	existing_parent	diese(r) hier, die hier, der hier	diese(r) hier, die hier, der hier	this; this is	manual_override	bu, -dır, -dir, -dur, -dür	manual_override	ana	headword_parented	medium	text examples: kauge-nyerib-u-hyeni:h06_l07; uc-kardes-masali:tb04_l04; uc-kardes-masali:tb04_l10
16	lerch_glossary_p197_r0016:entry	197	äna	ā́na	text_form_match	ana	ardene	existing_parent	(ich) bringe, 84.16. änu, (er) bringe, 51.9. Vgl. Krm. ani.	(ich) bringe, 84. 16. änu, (er) bringe, 51. 9. Vgl. Krm. ani.	bring, bring here	matched_dezd_headword	getirmek	matched_dezd_headword	ardene	headword_parented	medium	text examples: kauge-nyerib-u-hyeni:h06_l07; uc-kardes-masali:tb04_l04; uc-kardes-masali:tb04_l10
17	lerch_glossary_p197_r0017:entry	197	asirän	asirän	raw_extraction	asiran	aäirüt	see_reference	vom Stamme (Tribus), zum Stamme gehörig; s. aäirüt.	vom Stamme (Tribus), zum Stamme gehörig; s. aäirüt.	tribe	rule_guess_from_german	aşiret	rule_guess_from_german		ocr_extracted	low	
18	lerch_glossary_p197_r0018:entry	197	asiret	aširét	text_form_match	aşirêt	aşiret, 'eşiret	existing_parent	(arab. ^ic), Stamm, Tri- bus.	(arab. ^ic), Stamm, Tri- bus.	tribe	rule_guess_from_german	aşiret	matched_harun_headword	aşiret, 'eşiret	headword_parented	medium	text examples: uc-kardes-masali:tb01_l04
19	lerch_glossary_p197_r0019:entry	197	äsma	äsma	raw_extraction	asma	Aşme	existing_parent	äsme, Monat, Mond; s. Abth. I, S. xv, xxv, Anm. 12 .	äsme, Monat, Mond; s. Abth. I, S. xv, xxv, Anm. 12.	1) moon 2) month 3) girl name	matched_dezd_headword	1) ay (gökyüzü), 2) ay (takvim ayı) 3) bir kız ismi	matched_dezd_headword	Aşme	headword_parented	medium	
20	lerch_glossary_p197_r0020:entry	197	asän be	asän be	raw_extraction	asan bê	asän be	self	ruhe aus, erhole dich, .1-2 . Vgl. npers: jL), jjL l_1.	ruhe aus, erhole dich, . 1-2. Vgl. npers: jL), jjL l_1.						ocr_extracted	low	
21	lerch_glossary_p198_r0021:entry	198	asfin’a	asfin’a	raw_extraction	asfina	asfin-	verb_present_stem_guess	(ich) sehe. asdn’i, (sie) scheu, 49 . ö.	(ich) sehe. asdn’i, (sie) scheu, 49. ö.	see	rule_guess_from_german	görmek	rule_guess_from_german		ocr_extracted	low	
22	lerch_glossary_p198_r0022:entry	198	dsmye	dsmye	raw_extraction	dsmyê	dsmye	self	Himmel. Vgl. Krm. azmdn; cf. Pott Et. F. I, 194.	Himmel. Vgl. Krm. azmdn; cf. Pott Et. F. I, 194.						ocr_extracted	low	
23	lerch_glossary_p198_r0023:entry	198	azdd kdn’a	azdd kdn’a	raw_extraction	azdd kdna	azdd kdn-	verb_present_stem_guess	(ich) befreie. Vgl. Krm. az&d kir.	(ich) befreie. Vgl. Krm. az&d kir.						ocr_extracted	low	
24	lerch_glossary_p198_r0024:entry	198	ar	ar	raw_extraction	ar	ard	existing_parent	Mehl. Gld: ar.	Mehl. Gld: ar.	flour	matched_dezd_headword	un	matched_dezd_headword	ard	headword_parented	medium	
25	lerch_glossary_p198_r0025:entry	198	arewantf	arewantf	raw_extraction	arêwantf	arewantf	self	Müller, 83.3 sq.	Müller, 83. 3 sq.						ocr_extracted	low	
26	lerch_glossary_p198_r0026:entry	198	aris	Āríš	text_form_match	Ariş	arış	existing_parent	Mühle, 83.3.	Mühle, 83. 3.	mill	rule_guess_from_german	ekmeklik tahıl; | öğütmek için değirmene götürülen tahıl,un	matched_harun_headword	arış	headword_parented	medium	text examples: degirmenci-ve-tilki:mf01_l01
27	lerch_glossary_p198_r0027:entry	198	argös	argös	raw_extraction	argos	argös	self	Hase. Vgl. Krm. kerosk, kergü.	Hase. Vgl. Krm. kerosk, kergü.	hare	rule_guess_from_german	tavşan	rule_guess_from_german		ocr_extracted	low	
28	lerch_glossary_p198_r0028:entry	198	ard	ārd	text_form_match	ard	hard	existing_parent	Erde. Vgl. Krm. ard.	Erde. Vgl. Krm. ard.	earth, soil, earth’s surface	matched_dezd_headword	toprak, yer, yeryüzü	matched_dezd_headword	hard	headword_parented	medium	text examples: degirmenci-ve-tilki:mf05_l09; kauge-nyerib-u-hyeni:h05_l13; uc-kardes-masali:tb08_l07
29	lerch_glossary_p198_r0029:entry	198	ard	ārd	text_form_match	ard	ardene	existing_parent	brachte. ärdu, (dass du) brachtest, 52.8. Ärdi, brachten, 56.8; 65.7. bidri, biari, werden bringen, 62.8; 79.7; 84.12.	brachte. ärdu, (dass du) brachtest, 52. 8. Ärdi, brachten, 56. 8; 65. 7. bidri, biari, werden bringen, 62. 8; 79. 7; 84. 12.	bring, bring here	matched_dezd_headword	getirmek	matched_dezd_headword	ardene	headword_parented	medium	text examples: degirmenci-ve-tilki:mf05_l09; kauge-nyerib-u-hyeni:h05_l13; uc-kardes-masali:tb08_l07
30	lerch_glossary_p198_r0030:entry	198	arbüzy	arbüzy	raw_extraction	arbüzy	arbüzy	self	Blutigel.	Blutigel.						ocr_extracted	low	
31	lerch_glossary_p198_r0031:entry	198	Ali	Áli	text_form_match	Ali	Ali	existing_parent	Personenname.	Personenname.	personal name	rule_guess_from_german	kişi adı	rule_guess_from_german	Ali	headword_parented	medium	text examples: ali-agha-ladi-kelhani:a01_l01; ali-agha-ladi-kelhani:a01_l02; ali-agha-ladi-kelhani:a01_l03
32	lerch_glossary_p198_r0032:entry	198	Aldh	Aldh	raw_extraction	Aldh	Aldh	self	Gott,	Gott,						ocr_extracted	low	
33	lerch_glossary_p198_r0033:entry	198	alüsk	alüsk	raw_extraction	alüsk	alüsk	self	Wange,	Wange,						ocr_extracted	low	
34	lerch_glossary_p198_r0034:entry	198	altün	altün	raw_extraction	altün	altun, altın	existing_parent	(türk. ,jyJl), Gold,	(türk. , jyJl), Gold,	gold	rule_guess_from_german	altın	matched_harun_headword	altun, altın	headword_parented	medium	
35	lerch_glossary_p198_r0035:entry	198	altunin	altunin	raw_extraction	altûnin	altunın	existing_parent	golden.	golden.	golden	rule_guess_from_german	altınlı	matched_harun_headword	altunın	headword_parented	medium	
36	lerch_glossary_p198_r0036:entry	198	el'itidr	el'itidr	raw_extraction	êlitidr	el'itidr	self	Greis,	Greis,						ocr_extracted	low	
37	lerch_glossary_p198_r0037:entry	198	ehende	é̱hende	text_form_match	ehêndê	é̱hende	self	einige, 68.9.	einige, 68. 9.						ocr_extracted	medium	text examples: kauge-nyerib-u-sivani:s03_l11
38	lerch_glossary_p198_r0038:entry	198	ek’e	é̱ke	text_form_match	ekê	eke	existing_parent	wenn. Vgl. Krm. ek.	wenn. Vgl. Krm. ek.			diğinde	matched_dezd_headword	eke	headword_parented	medium	text examples: uc-kardes-masali:tb03_l05; uc-kardes-masali:tb03_l09; uc-kardes-masali:tb03_l12
39	lerch_glossary_p198_r0039:entry	198	enkai	ē̱nkaí	text_form_match	enkay	ē̱nkaí	self	sobald, 67.2.	sobald, 67. 2.						ocr_extracted	medium	text examples: kauge-nyerib-u-sivani:s02_l08
40	lerch_glossary_p198_r0040:entry	198	äbéra	äbéra	qa_reviewed	abêra	äbéra	self	ich lasse fallen	ich lasse fallen	to let fall / drop	qa_reviewed	bırakmak / düşürmek	qa_reviewed		qa_reviewed	high	
41	lerch_glossary_p198_r0041:entry	198	amá	amá	qa_reviewed	ama	amayene	existing_parent	ich komme	ich komme	to come / I come	qa_reviewed	gelmek / geliyorum	qa_reviewed	amayene	qa_reviewed	high	
42	lerch_glossary_p198_r0042:entry	198	amdneta	amdneta	raw_extraction	amdnêta	emdneta	see_reference	Schützling; s. emdneta.	Schützling; s. emdneta.						ocr_extracted	low	
43	lerch_glossary_p198_r0043:entry	198	ammini	ammini	raw_extraction	ammini	ammini	self	im Sommer. Vgl. Krm. havin.	im Sommer. Vgl. Krm. havin.						ocr_extracted	low	
44	lerch_glossary_p198_r0044:entry	198	Avdul’ah	Avdúl’ah	text_form_match	Avdûlah	Avdúl’ah	self	Personenname,	Personenname,	personal name	rule_guess_from_german	kişi adı	rule_guess_from_german		ocr_extracted	medium	text examples: kauge-nyerib-u-sivani:s02_l01; kauge-nyerib-u-sivani:s02_l03; kauge-nyerib-u-sivani:s02_l11
45	lerch_glossary_p198_r0045:entry	198	awe	awé̱	text_form_match	awe	awé̱	self	dieser, e, es; 50.4. auch aü’e.	dieser, e, es; 50. 4. auch aü’e.						ocr_extracted	medium	text examples: uc-kardes-masali:tb02_l04
46	lerch_glossary_p198_r0046:entry	198	engeld	engeld	raw_extraction	êngêld	engeld	self	Oberarm,	Oberarm,						ocr_extracted	low	
47	lerch_glossary_p198_r0047:entry	198	engimye	engimye	raw_extraction	êngimyê	engimye	self	Honig. Vgl. Krm. hinglv.	Honig. Vgl. Krm. hinglv.						ocr_extracted	low	
48	lerch_glossary_p198_r0048:entry	198	engist	engist	raw_extraction	êngist	engist	self	Finger. Vgl. allb: angusta; hzv: e-rp. . pärs^ npers: *. „;.r.l S. Polt Zählmethode, 283. engisti lingän, Fusszehe. engistere, Hing am Finger, eiigi'ir, Weintraube. Vgl. Ir. bei Kich: engheer, npers: jfi>\	Finger. Vgl. allb: angusta; hzv: e-rp. . pärs^ npers: *. „; . r. l S. Polt Zählmethode, 283. engisti lingän, Fusszehe. engistere, Hing am Finger, eiigi'ir, Weintraube. Vgl. Ir. bei Kich: engheer, npers: jfi>\						ocr_extracted	low	
49	lerch_glossary_p199_r0049:entry	199	gtia	gtia	raw_extraction	gtya	gtia	self	hier. etira, hierher, von hier, en’a = äna. Sn’oe = fn’a. Sn’ie, plur.	hier. etira, hierher, von hier, en’a = äna. Sn’oe = fn’a. Sn’ie, plur.						ocr_extracted	low	
50	lerch_glossary_p199_r0050:entry	199	estdr	estdr	raw_extraction	êstdr	estdr	self	Stern. Vgl. Krm. istörik, histSr, hu- stSr, sterik.	Stern. Vgl. Krm. istörik, histSr, hu- stSr, sterik.						ocr_extracted	low	
51	lerch_glossary_p199_r0051:entry	199	eiäte	eiäte	raw_extraction	êyatê	eiäte	self	warf, 58.3; 82. ii.	warf, 58. 3; 82. ii.						ocr_extracted	low	
52	lerch_glossary_p199_r0052:entry	199	eizjmi	eizjmi	raw_extraction	êyzjmi	eizjmi	self	Holz. Vgl. Krm. hezjng.	Holz. Vgl. Krm. hezjng.						ocr_extracted	low	
53	lerch_glossary_p199_r0053:entry	199	eiroe	eíroe	text_form_match	êyroê	eíroe	self	heute. Vgl. Krm. Irö. eiru = eiroe.	heute. Vgl. Krm. Irö. eiru = eiroe.	today	rule_guess_from_german	bugün	rule_guess_from_german		ocr_extracted	medium	text examples: kauge-nyerib-u-hyeni:h01_l08
54	lerch_glossary_p199_r0054:entry	199	eil	eil	raw_extraction	êyl	eil	self	eilek, Kind,	eilek, Kind,						ocr_extracted	low	
55	lerch_glossary_p199_r0055:entry	199	egit	egít	text_form_match	êgit	eğit	existing_parent	(türk. vlX), Held, 56, «4. ingist = engiät.	(türk. vlX), Held, 56, «4. ingist = engiät.			yiğit	matched_harun_headword	eğit	headword_parented	medium	text examples: uc-kardes-masali:tb08_l10; uc-kardes-masali:tb08_l12
56	lerch_glossary_p199_r0056:entry	199	oyjr	oyjr	raw_extraction	oyjr	oyjr	self	(türk.	(türk.						ocr_extracted	low	
57	lerch_glossary_p199_r0057:entry	199	Jkji	Jkji	raw_extraction	Jkji	Jkji	self	1), Glück, 54.14. . 109 V	1), Glück, 54. 14. . 109 V						ocr_extracted	low	
58	lerch_glossary_p199_r0058:entry	199	estdr	estdr	raw_extraction	êstdr	estdr	self	Pferd,	Pferd,	horse	rule_guess_from_german	at	rule_guess_from_german		ocr_extracted	low	
59	lerch_glossary_p199_r0059:entry	199	estii	estii	raw_extraction	êstyy	estii	self	ist.	ist.						ocr_extracted	low	
60	lerch_glossary_p199_r0060:entry	199	esnau kdn’a	esnau kdn’a	raw_extraction	êsnaw kdna	esnau kdn-	verb_present_stem_guess	bade mich,	bade mich,						ocr_extracted	low	
61	lerch_glossary_p199_r0061:entry	199	ez	ez	raw_extraction	êz	ez	existing_parent	ich. erd = ard.	ich. erd = ard.	I	matched_dezd_headword	ben	matched_dezd_headword	ez	headword_parented	medium	
62	lerch_glossary_p199_r0062:entry	199	erdjsi	erdjsi	raw_extraction	êrdjsi	erdjsi	self	Bart.	Bart.						ocr_extracted	low	
63	lerch_glossary_p199_r0063:entry	199	Sre’u	Sre’u	raw_extraction	Srêû	Sre-	verb_present_stem_guess	spät.	spät.						ocr_extracted	low	
64	lerch_glossary_p199_r0064:entry	199	ers kerd	ers kerd	raw_extraction	êrs kêrd	ers kerd	self	komniandirte: marsch!	komniandirte: marsch!						ocr_extracted	low	
65	lerch_glossary_p199_r0065:entry	199	eräau’üte	eräau’üte	raw_extraction	êraawütê	eräau’üte	self	schickte. ersauwen’a, (ich) schicke. Vgl. oss: apB&ryu.	schickte. ersauwen’a, (ich) schicke. Vgl. oss: apB&ryu.						ocr_extracted	low	
66	lerch_glossary_p199_r0066:entry	199	ernte	ernte	raw_extraction	êrntê	ernte	self	Schulter,	Schulter,						ocr_extracted	low	
67	lerch_glossary_p199_r0067:entry	199	em’a	em’a	raw_extraction	êma	am, aem	existing_parent	Vaterschwester.	Vaterschwester.			hala, bibi	matched_harun_headword	am, aem	headword_parented	medium	
68	lerch_glossary_p199_r0068:entry	199	emSr	emSr	raw_extraction	êmSr	emSr	self	(arab.^^c), Leben.	(arab. ^^c), Leben.						ocr_extracted	low	
69	lerch_glossary_p199_r0069:entry	199	mäoe	mäoe	raw_extraction	maoê	mäoe	self	diese Nacht. Vgl. Krm. läev. • _	diese Nacht. Vgl. Krm. läev. • _	night	rule_guess_from_german	gece	rule_guess_from_german		ocr_extracted	low	
70	lerch_glossary_p199_r0070:entry	199	Sstere	Sstere	raw_extraction	Sstêrê	Sstere	self	Horn: s. Krm. stüru. espär. weristbeespdr, stieg zu Pferde, 67.il.	Horn: s. Krm. stüru. espär. weristbeespdr, stieg zu Pferde, 67. il.						ocr_extracted	low	
71	lerch_glossary_p199_r0071:entry	199	efendim	eféndim	text_form_match	êfêndim	eféndim	self	(tiirk.^jJil), mein Herr,	(türk. . ^jJil), mein Herr,						ocr_extracted	medium	text examples: degirmenci-ve-tilki:mf02_l12; degirmenci-ve-tilki:mf02_l13; degirmenci-ve-tilki:mf03_l06
72	lerch_glossary_p199_r0072:entry	199	evära	evära	raw_extraction	êvara	evära	self	Abend.	Abend.						ocr_extracted	low	
73	lerch_glossary_p200_r0073:entry	200	umi'id	umi'id	raw_extraction	ûmiid	umi'id	self	Hoffnung. Vgl. Krm. f vi.	Hoffnung. Vgl. Krm. f vi.						ocr_extracted	low	
74	lerch_glossary_p200_r0074:entry	200	ha in	ha in	raw_extraction	ha in	ha in	self	hier; 64.8; 66.».	hier; 64. 8; 66. ».						ocr_extracted	low	
75	lerch_glossary_p200_r0075:entry	200	H'aidür	H'aidür	raw_extraction	Haydür	H'aidür	self	Personenname,	Personenname,	personal name	rule_guess_from_german	kişi adı	rule_guess_from_german		ocr_extracted	low	
76	lerch_glossary_p200_r0076:entry	200	hii’idi	hii’idi	raw_extraction	hyyidi	hii’idi	self	76. to.	76. to.						ocr_extracted	low	
77	lerch_glossary_p200_r0077:entry	200	hau	h̔āu	text_form_match	'haw	h̔āu	self	Schlaf. Vgl. Krm. liäv.	Schlaf. Vgl. Krm. liäv.						ocr_extracted	medium	text examples: goin-puhu-kusunun-hikayesi:g02_l06
78	lerch_glossary_p200_r0078:entry	200	haüna	h̔aúńa	text_form_match	'hawnya	h̔aúńa	self	sogleich,	sogleich,	immediately	rule_guess_from_german	hemen	rule_guess_from_german		ocr_extracted	medium	text examples: uc-kardes-masali:tb05_l01
79	lerch_glossary_p200_r0079:entry	200	haul	haul	qa_reviewed	hawl	haul	self	Lohn (?)	Lohn (?)	reward / pay	qa_reviewed	ödül / ücret	qa_reviewed		qa_reviewed	high	
80	lerch_glossary_p200_r0080:entry	200	hak	hak	raw_extraction	hak	hak	existing_parent	Ei. Vgl. Krm. hek.	Ei. Vgl. Krm. hek.	egg	matched_dezd_headword	yumurta	matched_dezd_headword	hak	headword_parented	medium	
81	lerch_glossary_p200_r0081:entry	200	h&tia	h&tia	raw_extraction	h&tya	h&tia	self	hier.	hier.						ocr_extracted	low	
82	lerch_glossary_p200_r0082:entry	200	hadrü	hadrü	raw_extraction	hadrü	hadrü	self	hadre, bereit, fertig, hadraü, ist fertig, hadre kerdu, bereite, 52.7.	hadre, bereit, fertig, hadraü, ist fertig, hadre kerdu, bereite, 52. 7.						ocr_extracted	low	
83	lerch_glossary_p200_r0083:entry	200	häl	Hʿāl	text_form_match	'Hal	hâl	existing_parent	(arab. jU), Zustand. ön’a Mle, dieses Mal, 77.12. Ml, Onkel von mütterlicher Seite. Vocat. hälö, 63.7. Mia, Tante von mütterlicher Seite, habür, (arab._^i), Nachricht, Bot- schaft. habür ersau’üte, benachrich- tigte, 62.12-13. ;	(arab. jU), Zustand. ön’a Mle, dieses Mal, 77. 12. Ml, Onkel von mütterlicher Seite. Vocat. hälö, 63. 7. Mia, Tante von mütterlicher Seite, habür, (arab. _^i), Nachricht, Bot- schaft. habür ersau’üte, benachrich- tigte, 62. 12-13. ;			hâl 1) durum 2) tutum, tavır 3) şimdiki zaman, içinde yaşanılan zaman 4) takat 5) kötü durum, sıkıntı, dert	matched_dezd_headword	hâl	headword_parented	medium	text examples: ali-agha-ladi-kelhani:a03_l06; ali-agha-ladi-kelhani:a03_l13; ali-agha-ladi-kelhani:a04_l02
84	lerch_glossary_p200_r0084:entry	200	üda	ud̮á	text_form_match	ûca	ud̮á	self	nieder. üda ru£n’a, fallt nieder, 55.2.	nieder. üda ru£n’a, fallt nieder, 55. 2.						ocr_extracted	medium	text examples: uc-kardes-masali:tb06_l12
85	lerch_glossary_p200_r0085:entry	200	liet	liet	raw_extraction	lyêt	liet	self	Postposition: zu, bei, 50.4: 62.is. Vgl. JC: hadä (Opp.	Postposition: zu, bei, 50. 4: 62. is. Vgl. JC: hadä (Opp.						ocr_extracted	low	
86	lerch_glossary_p200_r0086:entry	200	XVII	XVII	raw_extraction	XVYY	v	see_reference	4 ' 1 s. Bnf. Gl. s. v.)	4 ' 1 s. Bnf. Gl. s. v. )						ocr_extracted	low	
87	lerch_glossary_p200_r0087:entry	200	hetakü	hetakü	raw_extraction	hêtakü	hetakü	self	bis.	bis.						ocr_extracted	low	
88	lerch_glossary_p200_r0088:entry	200	lienek	lienek	raw_extraction	lyênêk	lienek	self	Kinn, hetia = h&tia.	Kinn, hetia = h&tia.						ocr_extracted	low	
89	lerch_glossary_p200_r0089:entry	200	H'enzi	Hʿé̱nzi	text_form_match	'Henzi	Deistei	see_reference	s. Deistei H'enzi.	s. Deistei H'enzi.						ocr_extracted	medium	text examples: kauge-nyerib-u-hyeni:h02_l10; kauge-nyerib-u-hyeni:h02_l13; kauge-nyerib-u-hyeni:h02_l14
90	lerch_glossary_p200_r0090:entry	200	lies	lies	raw_extraction	lyês	lies	self	Bär. Vgl. Krm. hirt.	Bär. Vgl. Krm. hirt.						ocr_extracted	low	
91	lerch_glossary_p200_r0091:entry	200	her	her	qa_reviewed	hêr	her	existing_parent	Esel	Esel	donkey	qa_reviewed	eşek	qa_reviewed	her	qa_reviewed	high	
92	lerch_glossary_p200_r0092:entry	200	herein	herein	raw_extraction	hêrêyn	herein	self	Harem,	Harem,						ocr_extracted	low	
93	lerch_glossary_p200_r0093:entry	200	hera’am	hera’am	raw_extraction	hêraam	hera’am	self	Bad.	Bad.						ocr_extracted	low	
94	lerch_glossary_p200_r0094:entry	200	hendür	hendür	raw_extraction	hêndür	hendür	self	Dolch. Vgl. Krm. yantür.	Dolch. Vgl. Krm. yantür.						ocr_extracted	low	
95	lerch_glossary_p200_r0095:entry	200	hers	h̔ẹ̄rs	text_form_match	'hêrs	hêrs	existing_parent	böse. Vgl. Krm. hirs.	böse. Vgl. Krm. hirs.	anger, rage, fury	matched_dezd_headword	öfke, sinir, kızgınlık,, şiddetli istek	matched_dezd_headword	hêrs	headword_parented	medium	text examples: goin-puhu-kusunun-hikayesi:g03_l15
96	lerch_glossary_p200_r0096:entry	200	hišin	hišin	qa_reviewed	hişin	xişn	existing_parent	dick?	dick?	thick / strong	qa_reviewed	kalın / güçlü	qa_reviewed	xişn	qa_reviewed	high	
97	lerch_glossary_p201_r0097:entry	201	haut	haut	raw_extraction	hawt	haut	self	sieben.	sieben.						ocr_extracted	low	
98	lerch_glossary_p201_r0098:entry	201	Iiautai	Iiautai	raw_extraction	Yyawtay	Iiautai	self	siebzig,	siebzig,						ocr_extracted	low	
99	lerch_glossary_p201_r0099:entry	201	hautaviu	hautaviu	raw_extraction	hawtavyw	hautaviu	self	siebzigste,	siebzigste,						ocr_extracted	low	
100	lerch_glossary_p201_r0100:entry	201	hautes	hautes	raw_extraction	hawtês	hautes	self	siebzebu.	siebzebu.						ocr_extracted	low	
101	lerch_glossary_p201_r0101:entry	201	hautesin	hautesin	raw_extraction	hawtêsin	hautesin	self	siebzehnte.	siebzehnte.						ocr_extracted	low	
102	lerch_glossary_p201_r0102:entry	201	hautSn	hautSn	raw_extraction	hawtSn	hautSn	self	siebente, hak = hak.	siebente, hak = hak.						ocr_extracted	low	
103	lerch_glossary_p201_r0103:entry	201	halyen	halyen	raw_extraction	halyên	halyen	self	Nest. Vgl. Krm. helin.	Nest. Vgl. Krm. helin.						ocr_extracted	low	
104	lerch_glossary_p201_r0104:entry	201	hengi	hengi	raw_extraction	hêngi	hıng, heng	existing_parent	Biene. Vgl. Krm. hingtV, Honig,	Biene. Vgl. Krm. hingtV, Honig,			arı, bal arısı	matched_harun_headword	hıng, heng	headword_parented	medium	
105	lerch_glossary_p201_r0105:entry	201	hergu	hérgu	text_form_match	hêrgû	hérgu	self	Jeder. hergu kes, ein Jeder, welcher,	Jeder. hergu kes, ein Jeder, welcher,	one	rule_guess_from_german	bir	rule_guess_from_german		ocr_extracted	medium	text examples: ali-agha-ladi-kelhani:a04_l07
106	lerch_glossary_p201_r0106:entry	201	helye	hḗlye	text_form_match	hêlyê	hḗlye	self	ein wenig,	ein wenig,	one	rule_guess_from_german	bir	rule_guess_from_german		ocr_extracted	medium	text examples: uc-kardes-masali:tb02_l14
107	lerch_glossary_p201_r0107:entry	201	hema	h̔é̱m’a	text_form_match	'hema	hema	existing_parent	aber	aber	however; only	manual_override	ancak	manual_override	hema	headword_parented	medium	text examples: kauge-nyerib-u-hyeni:h04_l14
108	lerch_glossary_p201_r0108:entry	201	heme	hé̱me	text_form_match	hemê	heme	existing_parent	hennue, alle,	hennue, alle,			1) hep(si), genel, herkes 2) mama, yemek, yiyecek (çocuk dilinde)	matched_dezd_headword	heme	headword_parented	medium	text examples: ali-agha-ladi-kelhani:a01_l10; ali-agha-ladi-kelhani:a02_l04; ali-agha-ladi-kelhani:a02_l14
