row_id	entry_id	source_page	entry_lerch	entry_modern_zazaki_guess	parent_headword	definition_de	definition_en	definition_tr	entry_review_status	conversion_confidence	conversion_notes
83	lerch_glossary_p200_r0083:entry	200	häl	hal	hâl	(arab. jU), Zustand. ön’a Mle, dieses Mal, 77.12. Ml, Onkel von mütterlicher Seite. Vocat. hälö, 63.7. Mia, Tante von mütterlicher Seite, habür, (arab._^i), Nachricht, Bot- schaft. habür ersau’üte, benachrich- tigte, 62.12-13. ;		hâl 1) durum 2) tutum, tavır 3) şimdiki zaman, içinde yaşanılan zaman 4) takat 5) kötü durum, sıkıntı, dert	headword_parented	medium	
84	lerch_glossary_p200_r0084:entry	200	üda	üda		nieder. üda ru£n’a, fallt nieder, 55.2.			ocr_extracted	low	source row is still OCR-level
85	lerch_glossary_p200_r0085:entry	200	liet	lyêt		Postposition: zu, bei, 50.4: 62.is. Vgl. JC: hadä (Opp.			ocr_extracted	low	source row is still OCR-level
86	lerch_glossary_p200_r0086:entry	200	XVII	XVYY		4 ' 1 s. Bnf. Gl. s. v.)			ocr_extracted	low	source row is still OCR-level
87	lerch_glossary_p200_r0087:entry	200	hetakü	hêtakü		bis.			ocr_extracted	low	source row is still OCR-level
88	lerch_glossary_p200_r0088:entry	200	lienek	lyênêk		Kinn, hetia = h&tia.			ocr_extracted	low	source row is still OCR-level
89	lerch_glossary_p200_r0089:entry	200	H'enzi	Hênzi		s. Deistei H'enzi.			ocr_extracted	low	source row is still OCR-level
90	lerch_glossary_p200_r0090:entry	200	lies	lyês		Bär. Vgl. Krm. hirt.			ocr_extracted	low	source row is still OCR-level
91	lerch_glossary_p200_r0091:entry	200	her	hêr	her	Esel	donkey	eşek	qa_reviewed	high	
92	lerch_glossary_p200_r0092:entry	200	herein	hêrêyn		Harem,			ocr_extracted	low	source row is still OCR-level
93	lerch_glossary_p200_r0093:entry	200	hera’am	hêraam		Bad.			ocr_extracted	low	source row is still OCR-level
94	lerch_glossary_p200_r0094:entry	200	hendür	hêndür		Dolch. Vgl. Krm. yantür.			ocr_extracted	low	source row is still OCR-level
95	lerch_glossary_p200_r0095:entry	200	hers	hêrs	hêrs	böse. Vgl. Krm. hirs.	anger, rage, fury	öfke, sinir, kızgınlık,, şiddetli istek	headword_parented	medium	
96	lerch_glossary_p200_r0096:entry	200	hišin	hişin	xişn	dick?	thick / strong	kalın / güçlü	qa_reviewed	high	
97	lerch_glossary_p201_r0097:entry	201	haut	hawt		sieben.			ocr_extracted	low	source row is still OCR-level
98	lerch_glossary_p201_r0098:entry	201	Iiautai	Yyawtay		siebzig,			ocr_extracted	low	source row is still OCR-level
99	lerch_glossary_p201_r0099:entry	201	hautaviu	hawtavyw		siebzigste,			ocr_extracted	low	source row is still OCR-level
100	lerch_glossary_p201_r0100:entry	201	hautes	hawtês		siebzebu.			ocr_extracted	low	source row is still OCR-level
101	lerch_glossary_p201_r0101:entry	201	hautesin	hawtêsin		siebzehnte.			ocr_extracted	low	source row is still OCR-level
102	lerch_glossary_p201_r0102:entry	201	hautSn	hawtSn		siebente, hak = hak.			ocr_extracted	low	source row is still OCR-level
103	lerch_glossary_p201_r0103:entry	201	halyen	halyên		Nest. Vgl. Krm. helin.			ocr_extracted	low	source row is still OCR-level
104	lerch_glossary_p201_r0104:entry	201	hengi	hêngi	hıng, heng	Biene. Vgl. Krm. hingtV, Honig,		arı, bal arısı	headword_parented	medium	
105	lerch_glossary_p201_r0105:entry	201	hergu	hêrgû		Jeder. hergu kes, ein Jeder, welcher,			ocr_extracted	low	source row is still OCR-level
106	lerch_glossary_p201_r0106:entry	201	helye	hêlyê		ein wenig,			ocr_extracted	low	source row is still OCR-level
107	lerch_glossary_p201_r0107:entry	201	hema	hêma	hema	aber	however; only	ancak	headword_parented	medium	
108	lerch_glossary_p201_r0108:entry	201	heme	hêmê	heme	hennue, alle,		1) hep(si), genel, herkes 2) mama, yemek, yiyecek (çocuk dilinde)	headword_parented	medium	
109	lerch_glossary_p201_r0109:entry	201	hewd	hêwd		Luft, Wind. hewd yen’u, der Wind gehl, bläst. Vgl. Krm. hdva.			ocr_extracted	low	source row is still OCR-level
110	lerch_glossary_p201_r0110:entry	201	qaüvi	qawvi		qaüwi, warum, 50.2, 55.9; 8!.u.			ocr_extracted	low	source row is still OCR-level
111	lerch_glossary_p201_r0111:entry	201	qanz	qanz		Gans. Vgl. Krm. qaz.			ocr_extracted	low	source row is still OCR-level
112	lerch_glossary_p201_r0112:entry	201	qandard	qandard		woher, 65.12.			ocr_extracted	low	source row is still OCR-level
113	lerch_glossary_p201_r0113:entry	201	qandiiü	qandyyw		wohiu, an welchen Ort, 87. 1; s. qam. H. heist, acht, heistai, achtzig, heistayin, achtzigste, liciätes, achtzehn. heiStesfn, achtzehule. heistin, achte, henzär, tausend, herd, breit, hergu = hergu. hiris, dreissig. hirfne, dritte, hirue, allen. Vgl. Krm. hlrö. hirye, drei, hlryes, dreizehn, hlryesiü, dreizehnte, hlryin, dritte; s. hirfne. hyegä, Feld. hyedf, hyedike, langsam, hyedi hyedl, bei Wenigem.			ocr_extracted	low	source row is still OCR-level
114	lerch_glossary_p201_r0114:entry	201	qandaüke	qandawkê		wo nur, an welchem Orte	wherever / at which place	her nerede / hangi yerde	qa_reviewed	high	
115	lerch_glossary_p202_r0115:entry	202	qaländik = tiirk. acJ>	qalandik = tyyrk. acJ>		Rabe,			ocr_extracted	low	source row is still OCR-level; multiword or collapsed row
116	lerch_glossary_p202_r0116:entry	202	qam	qam		welcher, wer, 59.8. pl. qänii. qäinek, derjenige welcher, wer nur, 73.13. qämek — qämek, qämuk — qäniuk, wer — wer, 75.4; 85 . 12-13 .			ocr_extracted	low	source row is still OCR-level
117	lerch_glossary_p202_r0117:entry	202	qdfelya	qdfêlya		schloss sich, 82.9.			ocr_extracted	low	source row is still OCR-level
118	lerch_glossary_p202_r0118:entry	202	kai kün'a	kay küna		(ich) springe,			ocr_extracted	low	source row is still OCR-level
119	lerch_glossary_p202_r0119:entry	202	kauyä	kawya		kauye, Kampf, Streit, Schlacht. Vgl. Krin. qauyd, kauyä.			ocr_extracted	low	source row is still OCR-level
120	lerch_glossary_p202_r0120:entry	202	kaut	kawt		fiel, 64.io; s. ra kaüta. kaüta rayer, auf den Weg fal- lend, d. h. sich auf den Weg machend, 51.7. kaut ver, zog hin (zu Jeman- dem), 55.». kaüta ver, partic., 62 is,64.4 3. 0- kaul, (ar. Jy), Rede, 57.9; 58.2.			ocr_extracted	low	source row is still OCR-level
121	lerch_glossary_p202_r0121:entry	202	kahdn	kahdn		alt; cf. Krm. s. ead. v.			ocr_extracted	low	source row is still OCR-level
122	lerch_glossary_p202_r0122:entry	202	kayit	kayit		Brief; cf. Krm. s. v. kayid.			ocr_extracted	low	source row is still OCR-level
123	lerch_glossary_p202_r0123:entry	202	katjr	katjr		(türk.			ocr_extracted	low	source row is still OCR-level
124	lerch_glossary_p202_r0124:entry	202	Li	Li		Maul- thier.			ocr_extracted	low	source row is still OCR-level
125	lerch_glossary_p202_r0125:entry	202	kar	kar	kar	Arbeit; cf. Krm. s. ead. v. kar kena, (ich)arbeite; s. kün’a.	1) work, activity 2) profit	1) çalışma, iş, eylem 2) kâr, kazanç	headword_parented	medium	
126	lerch_glossary_p202_r0126:entry	202	karaküs	karaküs		(türk, Habicht,			ocr_extracted	low	source row is still OCR-level
127	lerch_glossary_p202_r0127:entry	202	k.irdi	k.irdi		Messer. Vgl. Krm. ker.			ocr_extracted	low	source row is still OCR-level
128	lerch_glossary_p202_r0128:entry	202	qdfelna	qdfêlna		geschlossen habend, 83.4.			ocr_extracted	low	source row is still OCR-level
129	lerch_glossary_p202_r0129:entry	202	qirqiSün	qirqiSün		Blei, Kugel; vgl. türk. ClAj}*- I			ocr_extracted	low	source row is still OCR-level
130	lerch_glossary_p202_r0130:entry	202	qjle	qjlê		Flamme, 4.37.			ocr_extracted	low	source row is still OCR-level
131	lerch_glossary_p202_r0131:entry	202	qilrn	qilrn		kurz, qodt. kurz.			ocr_extracted	low	source row is still OCR-level
132	lerch_glossary_p202_r0132:entry	202	qund	qûnd		ein Vogel von ’/* ^uss Grösse. Sein Schrei hat iihle Bedeutung bei den Kurden, quze = türk.			ocr_extracted	low	source row is still OCR-level
133	lerch_glossary_p202_r0133:entry	202	Karbegtini	Karbêgtini		n. pr. 61.7.			ocr_extracted	low	source row is still OCR-level
134	lerch_glossary_p202_r0134:entry	202	kaläni	kalani		Schwerlscheide.			ocr_extracted	low	source row is still OCR-level
135	lerch_glossary_p202_r0135:entry	202	käli kün’a	kali küna		(ich) spreche,			ocr_extracted	low	source row is still OCR-level
136	lerch_glossary_p202_r0136:entry	202	kälma	kalma		kälme, Schwert, 64.it.			ocr_extracted	low	source row is still OCR-level
137	lerch_glossary_p202_r0137:entry	202	kekü	kêkü		Kuckuk. Vgl. Krm. kekö.			ocr_extracted	low	source row is still OCR-level
138	lerch_glossary_p202_r0138:entry	202	kerlng	kêrlng		Kranich. Vgl. Krm. kolüig.			ocr_extracted	low	source row is still OCR-level
139	lerch_glossary_p202_r0139:entry	202	kerge	kêrgê	kerge	Huhn. G: kurka yallina che cova; s. PZ. IV 26, 27. kergai mjsri, Truthenne,	chicken	tavuk	headword_parented	medium	
140	lerch_glossary_p202_r0140:entry	202	kebäb	kêbab	kebab	Braten,		kebap	headword_parented	medium	
141	lerch_glossary_p202_r0141:entry	202	ke	kê	ke	dass.	1) so that, that, after, when 2) do, make	1) ki, eğer, şayet, ise, -diğini/-diğine, -eceğini/-eceğine, -dikten sonra 2) et	headword_parented	medium	
142	lerch_glossary_p202_r0142:entry	202	kei	kêy		Haus, Wohnung. Vgl. npers: (s. Ilaug in d. Zeitschr. d. d. m. G.			ocr_extracted	low	source row is still OCR-level
143	lerch_glossary_p202_r0143:entry	202	VII	VYY		323). keiye, ins Haus, nach Hause, 51 .9; 53.9.			ocr_extracted	low	source row is still OCR-level
144	lerch_glossary_p202_r0144:entry	202	keike	kêykê		sobald als, 57.«.			ocr_extracted	low	source row is still OCR-level
145	lerch_glossary_p203_r0145:entry	203	kcina	kcina		Tochter, Mädchen. Ygl.altb: ka'\n\n, Jüngling, Jung- frau , kainü puella ( Itrrkli. Gl.); pärs: (Sp. PGr. 49); cf. Kuhn in Webers Ind. Stud. I, 329; Bopp Vgl. Gr. N. A. 1, 141 ; Hofers Zeitschrift I, 61, 133. yau kcinau yau lad, ein Mäd- chen und ein Knabe, 80.1.			ocr_extracted	low	source row is still OCR-level
146	lerch_glossary_p203_r0146:entry	203	keincka	kêyncka		keineke, Diminutiv von keina, 80.4, s.			ocr_extracted	low	source row is still OCR-level
147	lerch_glossary_p203_r0147:entry	203	keif = Krm. keif	kêyf = Krm. kêyf					ocr_extracted	low	source row is still OCR-level; multiword or collapsed row
148	lerch_glossary_p203_r0148:entry	203	kenär	kênar	kınar	Seile, Gegend. Vgl. npers: jbf.	edge	kenar	headword_parented	medium	
149	lerch_glossary_p203_r0149:entry	203	ken'a	kêna	kerdene	(ich) mache	to do; to make	yapmak, etmek	headword_parented	medium	
150	lerch_glossary_p203_r0150:entry	203	ki	ki	kerdene	(du) machst	to do; to make	yapmak, etmek	headword_parented	medium	
151	lerch_glossary_p203_r0151:entry	203	kjd	kjd		klein. kinga*= Krm. kinga.			ocr_extracted	low	source row is still OCR-level
152	lerch_glossary_p203_r0152:entry	203	kjj'ik	kjjik		llais.			ocr_extracted	low	source row is still OCR-level
153	lerch_glossary_p203_r0153:entry	203	kisen’a	kisêna		(ich) tödte, 63.o-io. kisün'i, (du) lödtest. 63.12. kist, tödtele, getödtet. kisti , siud getödtet worden, 6 1 .y; 64.13, 14. kiSya. wurde getödtet, 64.13.			ocr_extracted	low	source row is still OCR-level
154	lerch_glossary_p203_r0154:entry	203	kiüst	kywst		Seite des menschlichen Kör- pers, 57.8 li.			ocr_extracted	low	source row is still OCR-level
155	lerch_glossary_p203_r0155:entry	203	Kird	Kird	Kırd	Kurde,		bazışafi zazaların (Bingöl, Palu, Lice) kırdki dil tanımının yanında kullandıklarıkimlik tanımı	headword_parented	medium	
156	lerch_glossary_p203_r0156:entry	203	kirindele	kirindêlê		Frosch,			ocr_extracted	low	source row is still OCR-level
157	lerch_glossary_p203_r0157:entry	203	kirj’e	kirjê		Sonntag,			ocr_extracted	low	source row is still OCR-level
158	lerch_glossary_p203_r0158:entry	203	kildr	kildr		(türk._^T), Eidechse,			ocr_extracted	low	source row is still OCR-level
159	lerch_glossary_p203_r0159:entry	203	kift	kift	kıft	Schulter.		omuz	headword_parented	medium	
160	lerch_glossary_p203_r0160:entry	203	koen’a	koêna		ruhe, schlafe; s. kaut,			ocr_extracted	low	source row is still OCR-level
161	lerch_glossary_p203_r0161:entry	203	koi	koy		Berg. Cu. 306: ihjf koueke herz une montagne haute. Vgl. JC: kauf(Opp.			ocr_extracted	low	source row is still OCR-level
162	lerch_glossary_p203_r0162:entry	203	XVII	XVYY		381); huzv: ao; pärs: (Sp. llzv.Gr. §21 Anm. 5); npers: i afgli: (H.); oss: xox, xoqx.			ocr_extracted	low	source row is still OCR-level
163	lerch_glossary_p203_r0163:entry	203	kotdr	kotdr		Taube. Vgl. npers: J»yS, krm. kevük.			ocr_extracted	low	source row is still OCR-level
164	lerch_glossary_p203_r0164:entry	203	kör	kor	kor	blind	blind	kör	qa_reviewed	high	
165	lerch_glossary_p203_r0165:entry	203	korbcld	korbcld		ein Vogel, = tiirk.ac^j.			ocr_extracted	low	source row is still OCR-level
166	lerch_glossary_p203_r0166:entry	203	kolikei zindi	kolikêy zindi		Nasenlöcher,			ocr_extracted	low	source row is still OCR-level
167	lerch_glossary_p203_r0167:entry	203	köpeki	kopêki		abschenlich, 82.8.			ocr_extracted	low	source row is still OCR-level
168	lerch_glossary_p203_r0168:entry	203	komur	komûr		(türk.^y ), Kohle,			ocr_extracted	low	source row is still OCR-level
169	lerch_glossary_p203_r0169:entry	203	ku. (er) macht	kû. (êr) macht		mache, 52. i.			ocr_extracted	low	source row is still OCR-level; multiword or collapsed row
170	lerch_glossary_p203_r0170:entry	203	kuen a	kwên a		(ich) klopfe,			ocr_extracted	low	source row is still OCR-level
171	lerch_glossary_p203_r0171:entry	203	kusera	kûsêra		wohin,			ocr_extracted	low	source row is still OCR-level
172	lerch_glossary_p203_r0172:entry	203	kut	kût		Feld, Acker,			ocr_extracted	low	source row is still OCR-level
173	lerch_glossary_p203_r0173:entry	203	kütik	kütik	kutık	Hund. Vgl. Krm. kütik, kuti.	dog	köpek	headword_parented	medium	
174	lerch_glossary_p203_r0174:entry	203	kurq	kûrq		Fell, Pelz. Vgl. Krm. kurq. r ^^oogk			ocr_extracted	low	source row is still OCR-level
175	lerch_glossary_p204_r0175:entry	204	kuterän	kûtêran		lleerd. ii 1			ocr_extracted	low	source row is still OCR-level
176	lerch_glossary_p204_r0176:entry	204	ga	ga	ga	Stier. Vgl. Krin. ga, ge. gai büeri, brauner Stier, gai suri, rother Stier,	ox, bullock	öküz (kısırlaştırılmış boğa)	headword_parented	medium	
177	lerch_glossary_p204_r0177:entry	204	gaz keu'a	gaz kêwa		beisse.			ocr_extracted	low	source row is still OCR-level
178	lerch_glossary_p204_r0178:entry	204	gämye	gamyê		ein wenig,			ocr_extracted	low	source row is still OCR-level
179	lerch_glossary_p204_r0179:entry	204	geira	gêyra		ging, 56.7; s. geren’a.			ocr_extracted	low	source row is still OCR-level
180	lerch_glossary_p204_r0180:entry	204	gcraüt	gcrawt		nahm, griff, s. gdn’a. Vgl. Krm. girt. ez geraüta, ich bin ergrifleu worden, 56.10. liegeraüt, nahm nicht, 61.o.			ocr_extracted	low	source row is still OCR-level
