lemma_key	status	token_count	text_count	text_counts	lemma_hints	zazaki_variants	lerch_variants	context_gloss_hints	glossary_entries	glossary_match_sources	example_ref	example_token_zazaki	example_token_lerch	example_line_zazaki	example_line_lerch
dani	glossary_match	3	2	uc-kardes-masali:2; kauge-nyerib-u-sivani:1	dani	dani; cani	d̮ā́ni; dā́ni?; dā́ni,	preserve	dan mirdi	lemma	kauge-nyerib-u-sivani:s04_l09:1	cani	d̮ā́ni	Alah cani twê sağ bêdû, hetakê pêynyay ma nyêmêrû, twêri çi çinyû.	Aláh d̮ā́ni túe saγ bedú, he̱táke peíńai mā ńémeru, túeri t̮i t̮íńu.
dau	glossary_match	26	5	uc-kardes-masali:19; kauge-nyerib-u-sivani:4; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	dau	dyaw; daw; Dyaw; dawang; Dawang; Daw; caw	d́au; D́au; dau; Dauā́ṅ; Dau; dau.; daú,; dauā́ṅ	dev; village; PL; attack; with	dau; d'au	lemma	ali-agha-ladi-kelhani:a01_l08:3	daw	dau.	Ali ağay byari daw. Qasim ağa va kê: ma Ali ağay bê'hapêyni, ma	Áli aγaí biā́ri dau. Qasím aγá vā ke: mā Áli aγaí beh̔apeíni, mā
delali	glossary_match	1	1	kauge-nyerib-u-hyeni:1	delali	dêlali	delā́li	herald	deläl	lemma	kauge-nyerib-u-hyeni:h03_l10:4	dêlali	delā́li	Daqma begi zerêy 'Hyênidê dêlali vêyng da: nyêçaw ğarib şahrêstan	Dáqma bé̱gi ze̱reí Hʿyẹ̄́nide delā́li veiṅ dā: ńét̮au γarib šáhrestān
derdi	glossary_match	2	2	degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	derdi	derdi	dé̱rdi; de̱rdi	worry, sorrow; grief	derd	lemma	degirmenci-ve-tilki:mf02_l11:5	derdi	dé̱rdi	şay Mısri va kê lûêra: derdi tû çyû, mıri vacê. Lûê va kê:	šai Mí̥sri vā ke lú’era: dé̱rdi tu t̮yu, mí̥ri vā́d̮e. Lú’e vā ke:
des	glossary_match	7	3	ali-agha-ladi-kelhani:5; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	des	dês; Dês	des; Des; des-	ten; ablution	des	lemma	ali-agha-ladi-kelhani:a03_l09:3	dês	des	lacan bıkşi; hêma dês û hêyşti merdwomi ğaribi yênê 'hetê esti,	lád̮ān bi̥kší; hém’a des u heíšti mē̱rduó̤mi γarī́bi yéne h̔é̱te é̱sti,
dest	glossary_match	6	3	uc-kardes-masali:3; degirmenci-ve-tilki:2; kauge-nyerib-u-hyeni:1	dest	dest	de̱st; dé̱st-; dé̱st,; de̱st,	hand	dest	lemma	degirmenci-ve-tilki:mf03_l02:9	dest	de̱st	mê yaw kerre tepişt pa vênerta, ez awnyaya yaw dest ame gna mê	me yau ké̱re̱ te̱píšt pa vené̱rta, e̱z auńáya yau de̱st āmé̱ gnā me
desti	glossary_match	4	3	ali-agha-ladi-kelhani:2; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	desti	desti	dé̱sti; dé̱sti	hand	dest	lemma	ali-agha-ladi-kelhani:a01_l03:7	desti	dé̱sti	kişti. Çawdi Ali ağay çi nyêbê, çewi desti Ali ağay nyêgêrawt. Ali	kíšti. T̮aúdi Áli aγaí t̮i ńébe, t̮é̱wi dé̱sti Áli aγaí ńegeraút. Áli
destra	glossary_match	1	1	uc-kardes-masali:1	destra	destra	dé̱stra	hand	dest	lemma	uc-kardes-masali:tb07_l13:7	destra	dé̱stra	Qayfeçi 'Hasanêkira va kê: lacim, bêray twê destra tê gûre yênû.	Qaife̱t̮í H̔asanékira vā ke: lā́d̮im, beraí túe dé̱stra te gúre̱ yén’u.
dewi	glossary_match	57	4	uc-kardes-masali:47; kauge-nyerib-u-sivani:5; ali-agha-ladi-kelhani:3; gespraech-mit-hassan:2	dewi	dyewi; dewi; dyewira; Dyewi; dyêwi; Dewi; Dêwi; dêwi	d́é̱wi; dé̱wi; d́é̱wi.; dé̱wi; D́é̱wi; d́é̱wira; dé̱wi; d́éwi	of the dev; villages; dev; RECIP	dau; d'au	lemma	ali-agha-ladi-kelhani:a01_l05:4	dewi	dé̱wi	Syêraçûrêdê. Hiris û çêhêr dewi Karbegani, hiris û çêhêr dewi	Syerat̮ūrede. Híris u t̮ehér dé̱wi Karbe̱gā́ni, híris u t̮ehér dé̱wi
dewiri	glossary_match	2	1	uc-kardes-masali:2	dewiri	dyewiri	d́é̱wiri.	to the dev	dau; d'au	lemma	uc-kardes-masali:tb04_l02:3	dyewiri	d́é̱wiri.	rawt, şê, berd dyewiri.	raút, šẹ̄, be̱rd d́é̱wiri.
deyine	glossary_match	1	1	uc-kardes-masali:1	deyine	dêyinê	deyíne	however	deyine	lemma	uc-kardes-masali:tb01_l02:9	dêyinê	deyíne	namêy bêray myanyêni Qasim, namêy bêray pili Şaban. Çi dêyinê	nameí beraí myańéni Qasím, nameí beraí pī́li Šabán. T̮í deyíne
di	glossary_match	29	7	uc-kardes-masali:7; gespraech-mit-hassan:6; goin-puhu-kusunun-hikayesi:6; ali-agha-ladi-kelhani:3; kauge-nyerib-u-hyeni:3; degirmenci-ve-tilki:2; kauge-nyerib-u-sivani:2	di	di; dı; ci; Dı; dyi	di̥; dī,; dī,; dī; di,; d̮i; dī?; dī.	saw; two; in; two, 2; found; find; see	di; du	lemma	ali-agha-ladi-kelhani:a01_l09:4	di	di,	şawê venga êskêrê xoê di, eskêri dawang wa pyêrû bêrû pyêser,	šaú’e vé̱ṅga eskére χóe di, e̱skéri daú’āṅ wa pyéru béru pyesé̱r,
