lemma_key	suggested_action	suggested_headword	suggested_gloss_en	suggested_gloss_tr	rationale	token_count	text_count	text_counts	lemma_hints	zazaki_variants	lerch_variants	context_gloss_hints	related_glossary_hits	example_ref	example_token_zazaki	example_token_lerch	example_line_zazaki	example_line_lerch	review_status	reviewer_note
emsoe	likely_add_or_merge	emsoe	tonight		Frequent text-attested form with a stable context gloss and no current exact glossary match.	9	3	uc-kardes-masali:5; kauge-nyerib-u-hyeni:3; kauge-nyerib-u-sivani:1	emsoe	emşoê	é̱mšoe; ḗ̱mšoe; é̱mšoe	tonight		kauge-nyerib-u-hyeni:h04_l03:5	emşoê	é̱mšoe	Daqma begiri 'Hyênê va kê: emşoê mûqaytê xoê bê, ez	Dáqma bé̱giri Hʿyẹ̄́ne vā ke: é̱mšoe muqaíte χóe be, e̱z	needs_human_review	
hete	likely_add_or_merge	hete	side, direction, with/to		Frequent text-attested form with a stable context gloss and no current exact glossary match.	9	2	uc-kardes-masali:7; ali-agha-ladi-kelhani:2	hete	'hêtê; hetê; 'hetê	h̔ēte; hé̱te; h̔é̱te	with; side		ali-agha-ladi-kelhani:a02_l10:5	hetê	hé̱te	Qasim ağa şi Ali ağay hetê ronişt va kê: ağa, ez ama twêra ric	Qasím aγá ši Áli aγaí hé̱te rōníšt vā ke: aγá, e̱z amá túera rīd̮	needs_human_review	
keinek	likely_merge_existing	keinek	girl		Related Lerch glossary hit(s) exist; review as a variant, inflected form, or child entry before adding a new headword.	9	1	goin-puhu-kusunun-hikayesi:9	keinek	Kêynêk; kêynêk; kêynêkra	Keínek; keínek; keínekra	girl; RECIP	kcina [lerch_glossary_p203_r0145:entry]: Tochter, Mädchen. Ygl.altb: ka'\n\n, Jüngling, Jung- frau , kainü puella ( Itrr... | keincka [lerch_glossary_p203_r0146:entry]: keineke, Diminutiv von keina, 80.4, s.	goin-puhu-kusunun-hikayesi:g02_l03:3	kêynêk	keínek	Kêynêkê şwêna golikangdê; kêynêk rocêki yerêy golikana yêna,	Keíneke šuén’a gōlikā́ṅde; keínek rṓd̮eki yé̱rei gōlikā́na yén’a,	needs_human_review	
daw	likely_merge_existing	daw	village		Related Lerch glossary hit(s) exist; review as a variant, inflected form, or child entry before adding a new headword.	8	3	ali-agha-ladi-kelhani:3; kauge-nyerib-u-sivani:3; gespraech-mit-hassan:2	daw	dawani; dawang; dawê; dawana	dauā́ni; daú’āṅ; daúe; dauwā́na	village; PL; EZ/OBL; EZ/GEN; OBL/GOAL	dau [lerch_glossary_p208_r0289:entry]: Dorf. Vgl. npers: 0a. | d'au [lerch_glossary_p209_r0325:entry]: Dev. Vgl. JC: daöva; altb: da6va (s. Brnf. Coinni. s. I. Y. 8, 78; Brckh. Gl. s...	ali-agha-ladi-kelhani:a01_l02:6	dawang	daú’āṅ	Ali ağay Narbyêş. Ali ağa çêhêr dawang da pyêrû, hiris û çêhêr	Áli aγaí Nārbyẹ̄́š. Áli aγá t̮ehér daú’āṅ dā pyérū, híris u t̮ehér	needs_human_review	
etia	likely_add_or_merge	etia	here		Frequent text-attested form with a stable context gloss and no current exact glossary match.	8	3	uc-kardes-masali:4; goin-puhu-kusunun-hikayesi:2; kauge-nyerib-u-hyeni:2	etia	etya; etyara	e̱tía; e̱tía; e̱tía.; e̱tia; e̱tíara	here; here (modern Zazaki: itiya); ABL		goin-puhu-kusunun-hikayesi:g02_l13:5	etya	e̱tía	'hêni twêri golêkangdê nyêşwêna, ez etya nyêvêndêna.	h̔én’i túeri gōlekā́ṅde ńešuén’a, e̱z e̱tía ńevendén’a.	needs_human_review	
hadre	likely_merge_existing	hadre	ready		Related Lerch glossary hit(s) exist; review as a variant, inflected form, or child entry before adding a new headword.	8	3	kauge-nyerib-u-hyeni:4; kauge-nyerib-u-sivani:3; uc-kardes-masali:1	hadre	'hadre; 'hadrê	h̔adré̱; h̔ādré̱; h̔ādré; h̔adré̱; h̔adré̱	ready	hadrü [lerch_glossary_p200_r0082:entry]: hadre, bereit, fertig, hadraü, ist fertig, hadre kerdu, bereite, 52.7.	kauge-nyerib-u-hyeni:h03_l01:0	'hadre	h̔adré̱	'hadre kêri, qam rocûkê 'Hyênêra 'haberê amêyê ma kawğe kêni.	h̔adré̱ kéri, qām rṓd̮uke Hʿyẹ̄́nera h̔abé̱re āmeíye mā kauγé̱ kén’i.	needs_human_review	
meiste	likely_add_or_merge	meiste	tomorrow		Frequent text-attested form with a stable context gloss and no current exact glossary match.	8	2	kauge-nyerib-u-hyeni:6; kauge-nyerib-u-sivani:2	meiste	mêyştê	meíšte	tomorrow		kauge-nyerib-u-hyeni:h03_l08:9	mêyştê	meíšte	erşawûtê 'Hyênê Daqma begiri va kê: roci pangcinê, nyê mêyştê byê,	e̱ršau’úte Hʿyẹ̄́ne Dáqma bé̱giri vā ke: rōd̮i paṅd̮íne, ńe meíšte bye,	needs_human_review	
rod	likely_add_or_merge	rod	day		Frequent text-attested form with a stable context gloss and no current exact glossary match.	7	3	kauge-nyerib-u-hyeni:5; degirmenci-ve-tilki:1; kauge-nyerib-u-sivani:1	rod	roc; Roc	rōd̮; Rōd̮; rōd̮,	day(s); day; days		degirmenci-ve-tilki:mf01_l02:1	Roc	Rōd̮	nayni. Roc yêkê beri ari qafêlna şê kêyê, şawê kêyê ra kawt,	naíni. Rōd̮ yéke bé̱ri ārí qáfelnā šẹ̄ keíye, šaú’e keíye rā kaut,	needs_human_review	
soba	likely_add_or_merge	soba	morning		Frequent text-attested form with a stable context gloss and no current exact glossary match.	7	3	uc-kardes-masali:5; ali-agha-ladi-kelhani:1; kauge-nyerib-u-hyeni:1	soba	soba; Soba	so̤bā́; So̤bá; söbā́; sobā́.; So̤bā́	morning		ali-agha-ladi-kelhani:a04_l08:6	Soba	So̤bá	hêyşt merdümi ğaribana pyêrû mêndi wadedê. Soba Mêlay Rêsa	heišt me̱rdṳ́mi γaribā́na pyéru méndi wáde̱de. So̤bá Mél’ai Resá	needs_human_review	
waxte	likely_add_or_merge	waxte	time		Frequent text-attested form with a stable context gloss and no current exact glossary match.	7	3	kauge-nyerib-u-hyeni:3; gespraech-mit-hassan:2; kauge-nyerib-u-sivani:2	waxte	waxtê	wáχte; waχte; wā́χte	time		gespraech-mit-hassan:h03_l02:2	waxtê	wáχte	Şüma qam waxtê şwêni zozang?	Šṳ́ma qām wáχte šuén’i zozā́ṅ?	needs_human_review	
vist	likely_add_or_merge	vist	twenty		Frequent text-attested form with a stable context gloss and no current exact glossary match.	7	2	kauge-nyerib-u-hyeni:5; kauge-nyerib-u-sivani:2	vist	vist; Vist	vīst; vīst; Vīst	twenty		kauge-nyerib-u-hyeni:h06_l09:10	vist	vīst	mawlêt bıdê mê. Xalef ağa va kê: 'haici, wa twêri vist roc mawlêt,	maulét bi̥dé me. Χalé̱f aγá vā ke: h̔á’id̮i, wa túeri vīst rōd̮ maulét,	needs_human_review	
bani	likely_add_or_merge	bani	house(s)		Frequent text-attested form with a stable context gloss and no current exact glossary match.	6	2	gespraech-mit-hassan:5; kauge-nyerib-u-sivani:1	bani	bani; banidê	bā́ni; bā́nide	houses; LOC; house		gespraech-mit-hassan:h02_l06:1	bani	bā́ni	Çendê bani dawe Kasan esti?	T̮é̱nde bā́ni daúe̱ Kasán é̱sti?	needs_human_review	
launa	likely_add_or_merge	launa	kissed		Frequent text-attested form with a stable context gloss and no current exact glossary match.	6	2	kauge-nyerib-u-sivani:4; kauge-nyerib-u-hyeni:2	launa	lawna	launā́; launā	kissed		kauge-nyerib-u-hyeni:h09_l08:3	lawna	launā	Daqma beg şê, lawna Xalef ağay lingêrû, Xalef ağay lawna Daqma	Dáqma be̱g šẹ̄, launā Χalé̱f aγái língeru, Χalé̱f aγái launā Dáqma	needs_human_review	
kidi	likely_merge_existing	kidi	small		Related Lerch glossary hit(s) exist; review as a variant, inflected form, or child entry before adding a new headword.	6	1	uc-kardes-masali:6	kidi	kıci	ki̥d̮i; kí̥d̮i	small	kcina [lerch_glossary_p203_r0145:entry]: Tochter, Mädchen. Ygl.altb: ka'\n\n, Jüngling, Jung- frau , kainü puella ( Itrr...	uc-kardes-masali:tb01_l01:9	kıci	ki̥d̮i	Cayki bi çi nyêbi, hiryê bêrai bi, namêy bêray kıci 'Hasanêk,	D̮aíkí bī t̮í ńébī, hī́rye berá’i bī, nameí beraí ki̥d̮i Hʿasanék,	needs_human_review	
izmi	likely_add_or_merge	izmi	permission		Frequent text-attested form with a stable context gloss and no current exact glossary match.	5	3	degirmenci-ve-tilki:2; kauge-nyerib-u-hyeni:2; uc-kardes-masali:1	izmi	izmi	ī́zmi; ī́zmí	permission		degirmenci-ve-tilki:mf02_l12:1	izmi	ī́zmi	êfêndim: izmi mê bıdê, ez twêri vaca. Paşay Mısri izmi lûê da.	eféndim: ī́zmi me bi̥dé, e̱z túeri vā́d̮a. Pašaí Mi̥sri ī́zmi lú’e dā.	needs_human_review	
vadi	likely_merge_existing	vadi	say, tell		Related Lerch glossary hit(s) exist; review as a variant, inflected form, or child entry before adding a new headword.	5	3	uc-kardes-masali:3; gespraech-mit-hassan:1; kauge-nyerib-u-hyeni:1	vadi	vaci; vadi	vā́d̮i; vā́d̮i; vā́di:	say; tell	va [lerch_glossary_p217_r0546:entry]: to say; to tell; to speak | va$ [lerch_glossary_p218_r0549:entry]: grass, weed	gespraech-mit-hassan:h03_l15:2	vaci	vā́d̮i	Tı nyêşêni vaci kawğei Sivani û Avdûla begi.	Ti̥ ńešén’i vā́d̮i kauγé̱’i Sivā́ni u Avdúla bé̱gi.	needs_human_review	
esker	likely_add_or_merge	esker	army, soldier		Frequent text-attested form with a stable context gloss and no current exact glossary match.	5	2	kauge-nyerib-u-hyeni:3; ali-agha-ladi-kelhani:2	esker	eskêr; Eskêr	e̱skér; e̱skér; E̱skér	army; soldier		ali-agha-ladi-kelhani:a02_l07:8	eskêr	e̱skér	Dewi pyêrû amêy pyêsêr, şawê werişti, çêhêr sêy eskêr vıcyay, amêy	Dé̱wi pyéru āmeí pyesér, šaú’e we̱ríšti, t̮ehér sei e̱skér vi̥d̮iai, āmeí	needs_human_review	
rez	likely_add_or_merge	rez	vineyard, vine		Frequent text-attested form with a stable context gloss and no current exact glossary match.	5	2	kauge-nyerib-u-hyeni:4; gespraech-mit-hassan:1	rez	rezan; rez	re̱z; ré̱zān.; ré̱zān.; re̱zā́n	vineyard; PL; vine		gespraech-mit-hassan:h02_l12:1	rez	re̱z	nariyêr, rez êsti.	nāriyér, re̱z ésti.	needs_human_review	
simsyeri	likely_merge_existing	simsyeri	sword		Related Lerch glossary hit(s) exist; review as a variant, inflected form, or child entry before adding a new headword.	5	2	uc-kardes-masali:4; kauge-nyerib-u-hyeni:1	simsyeri	şimşyêri; şımşyêri	šimšyẹ̄́ri; ši̥mšyẹ̄́ri	sword	SimSyßr [lerch_glossary_p210_r0367:entry]: Schwert. Vgl. Krm. sür, syür.	kauge-nyerib-u-hyeni:h02_l01:7	şımşyêri	ši̥mšyẹ̄́ri	xoê gêrawti tırsi xoê kêrd, xo dest şımşyêri xoê werand, şê merdümi	χóe geraúti ti̥rsi χóe kerd, χo de̱st ši̥mšyẹ̄́ri χóe we̱rā́nd, šẹ̄ me̱rdṳ́mi	needs_human_review	
deni	likely_add_or_merge	deni	woman		Frequent text-attested form with a stable context gloss and no current exact glossary match.	5	1	goin-puhu-kusunun-hikayesi:5	deni	cêni; cênira; Cêni	d̮éni; d̮énira; D̮éni; d̮énira,	woman; RECIP		goin-puhu-kusunun-hikayesi:g01_l02:8	cêni	d̮éni	têra bi. Cênyay merd, pêynıdê myêrdê şê yawna cêni ardê. Dı	terá bī. D̮éniai me̱rd, peíni̥de myérde šẹ̄ yaúna d̮éni ā́rde. Di̥	needs_human_review	
bi	merge_or_function_entry	bi	CONJ/FUT; give; bring		conjunctive/future prefix and several short inflected verb forms; review as grammar/morpheme, not as a simple new lexical headword.	72	6	kauge-nyerib-u-hyeni:22; uc-kardes-masali:15; ali-agha-ladi-kelhani:13; kauge-nyerib-u-sivani:11; degirmenci-ve-tilki:7; goin-puhu-kusunun-hikayesi:4	bi-; bi	bi; bıdê; bıki; bıkşi; bıkêri; byari; bıgê; bıgi	bi̥dé,; bi; bi̥kí,; bi̥dé; bi̥kší.; bíeri; bī; bi̥ké.	CONJ/FUT; give; bring; was; kill; to; fight/do; do/fight		ali-agha-ladi-kelhani:a01_l08:2	byari	biā́ri	Ali ağay byari daw. Qasim ağa va kê: ma Ali ağay bê'hapêyni, ma	Áli aγaí biā́ri dau. Qasím aγá vā ke: mā Áli aγaí beh̔apeíni, mā	needs_human_review	
ne	merge_or_function_entry	ne	NEG; spare/leave; not		negative particle/prefix; connect to a negative morpheme entry rather than adding every inflected form.	40	7	kauge-nyerib-u-hyeni:17; ali-agha-ladi-kelhani:7; kauge-nyerib-u-sivani:7; uc-kardes-masali:4; degirmenci-ve-tilki:2; goin-puhu-kusunun-hikayesi:2; gespraech-mit-hassan:1	ne-; ne	nyê; nyêvêrdana; nê; nyêşyêna; nyêdana; nyêkêna; nyêmiri; nyêbê	ńešyén’a; ńeverdā́na,; ńe; ńe; ńémiri; ne-; ńébe,; ńegeraút.	NEG; spare/leave; not; be; give; now; die; be able		ali-agha-ladi-kelhani:a01_l03:5	nyêbê	ńébe,	kişti. Çawdi Ali ağay çi nyêbê, çewi desti Ali ağay nyêgêrawt. Ali	kíšti. T̮aúdi Áli aγaí t̮i ńébe, t̮é̱wi dé̱sti Áli aγaí ńegeraút. Áli	needs_human_review	
de	merge_or_function_entry	de	in; to him		locative/dative element and short pronoun-like forms; review under grammar/function entries.	12	4	uc-kardes-masali:7; degirmenci-ve-tilki:2; goin-puhu-kusunun-hikayesi:2; ali-agha-ladi-kelhani:1	de	dê; cê; dye	de,; de; d̮e.; de.; d̮é-; dé; d́é̱-; dé,	in; to him		ali-agha-ladi-kelhani:a03_l06:5	cê	d̮e.	kişêni. 'Hali xancêray A'hmêdi nyêday cê. 'Hal şê tebêr, eskêri	kišén’i. Hʿāli χand̮érai Ah̔médi ńédai d̮e. Hʿāl šẹ̄ te̱bér, e̱skéri	needs_human_review	
na	merge_or_function_entry	na	ended; not		short negative/demonstrative/verb-form ambiguity; review under existing function words if possible.	12	4	uc-kardes-masali:6; kauge-nyerib-u-hyeni:4; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-sivani:1	na	na; nya	nā; ńa; nā.; ńa,; nā.; na,	ended; not		goin-puhu-kusunun-hikayesi:g03_l02:1	nya	ńa,	sağê nya, 'hêyrkê mê bêray twê nyêdi, nyê ez vêndêna, nyê tı vındê.	sáγe ńa, h̔eirke me beraí túe ńédī, ńe e̱z vendén’a, ńe ti̥ ví̥nde.	needs_human_review	
we	merge_or_function_entry	we	out-; let; and		prefix/particle in compounds and verbs; review as morpheme/function element.	5	5	ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	we	we; wê	we̱; we̱-; we-	out-; let; and; to; up		ali-agha-ladi-kelhani:a04_l10:10	we	we̱-	aylana dês û hêyşt teni merdümi ğaribana 'hetya byêri beri we-	aílāna des u heíšt té̱ni me̱rdṳ́mi γaribā́na h̔é̱tia bíeri bé̱ri we̱-	needs_human_review	
ge	merge_or_function_entry	ge	put on; go; occasion-		short preverb/verb fragment in multiple contexts; review as grammar/morpheme.	5	4	kauge-nyerib-u-sivani:2; degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1; uc-kardes-masali:1	ge	gê	ge-; ǵe,	put on; go; occasion-; took-; took		degirmenci-ve-tilki:mf03_l13:4	gê	ǵe,	enoê qati kincang pêra gê, ma şyêri paşadê Mısri 'hêt.	ḗ̱n’oe qáti kind̮áṅ perá ǵe, mā šyẹ̄́ri pašáde Mí̥sri h̔et.	needs_human_review	
la	merge_or_function_entry	la	but-; flood		short connector/phrase element; review before adding as lexical headword.	5	4	degirmenci-ve-tilki:2; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	la	la	la; la-	but-; flood		degirmenci-ve-tilki:mf03_l01:3	la	la	paşay bê, pyêrû la seri berd, ez twêri cinê pyêrû la seri berdi,	pašaí be, pyéru la sé̱ri be̱rd, e̱z túeri d̮íne pyéru la sé̱ri bé̱rdi,	needs_human_review	
ka	merge_or_function_entry	ka	would		conditional/subordinator/auxiliary-like short form; review as function item.	4	2	kauge-nyerib-u-sivani:2; uc-kardes-masali:2	ka	ka	ka-; ka; ka,	would		kauge-nyerib-u-sivani:s05_l14:2	ka	ka	nyêdani, ez ka pêynyay dawani Nyêribi veşna, heminê taalan ka, çım-	ńedā́ni, e̱z ka peińai dauā́ni Ńeríbi vé̱šna, hé̱mine tá’alan ka, t̮i̥m-	needs_human_review	
begi	review_lower_priority	begi	Beg, title; Beg; GOAL/RECIP		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	37	2	kauge-nyerib-u-hyeni:34; gespraech-mit-hassan:3	begi	begi; begiri; begira	bé̱gi; bé̱giri; bé̱gi,; bé̱gi; bé̱gi.; bé̱gí; bé̱gira; bé̱gira.	Beg, title; Beg; GOAL/RECIP; ABL/SOURCE		gespraech-mit-hassan:h03_l10:9	begi	bé̱gi	di, ez şya kawğei Nyêribi û 'Hyêni, kawğei E'hmêd begi û Sivani	dī, e̱z šía kauγé̱’i Ńeríbi u Hʿyẹ̄́ni, kauγé̱’i E̱h̔méd bé̱gi u Sivā́ni	needs_human_review	
lad	review_high_value	lad	son; EZ/GEN; PL		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	21	4	ali-agha-ladi-kelhani:9; kauge-nyerib-u-sivani:6; goin-puhu-kusunun-hikayesi:3; uc-kardes-masali:3	lad	laci; lacana; Laci; lacan; lac; lacêkû	Lā́d̮i; lā́d̮i; lad̮ā́na; lā́d̮i; lád̮ān; lād̮ā́na,; lā́d̮āna; lād̮	son; EZ/GEN; PL; EZ/OBL; boy; son/boy; DIM/one; OBL		ali-agha-ladi-kelhani:a01_l01:2	laci	lā́d̮i	Ali ağa laci Kêlhani mirêy na'hêy Karbegani. Namêy daway	Áli aγá lā́d̮i Kelháni mírei nah̔eí Karbe̱gā́ni. Nameí daú’ai	needs_human_review	
tera	review_high_value	tera	from; with; off		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	10	5	kauge-nyerib-u-hyeni:4; goin-puhu-kusunun-hikayesi:3; degirmenci-ve-tilki:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	tera	têra	terá; terá; téra; téra	from; with; off		degirmenci-ve-tilki:mf04_l13:7	têra	terá	lwêra: paşay Mısri nêkay yênû, serêy mê têra kênû. Lwê va kê:	lúera: pašaí Mí̥sri nekāí yén’u, sé̱rei me terá kén’u. Lúe vā ke:	needs_human_review	
sue	review_high_value	sue	go; come		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	10	4	uc-kardes-masali:4; degirmenci-ve-tilki:3; goin-puhu-kusunun-hikayesi:2; kauge-nyerib-u-hyeni:1	sue	şwê	šúe,; šúe; šúe; šúe,	go; come		degirmenci-ve-tilki:mf03_l12:4	şwê	šúe	şadê Mısri wayştê, warzê, şwê 'hemam, xoê bışû, temiz kê, byê,	šáde Mi̥sri waíšte, wárze, šúe h̔é̱m’ām, χóe bi̥šú, te̱míz ke, bye,	needs_human_review	
enie	review_lower_priority	enie	these		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	8	2	uc-kardes-masali:7; ali-agha-ladi-kelhani:1	enie	enyê; Enyê; ênyê; Ênyê	ḗ̱n’ie; ḗ̱n’ie; Ḗ̱n’ie; én’ie; Én’ie	these		ali-agha-ladi-kelhani:a02_l04:1	enyê	ḗ̱n’ie	ağa enyê wirdi şi, kêy Ali ağay ard dawê, çêhêr hemê lacana	aγá ḗ̱n’ie wírdi šī, kei Áli aγaí ārd daú’e, t̮ehér hé̱me lad̮ā́na	needs_human_review	
kauta	review_against_existing	kauta	went		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	7	4	ali-agha-ladi-kelhani:2; kauge-nyerib-u-hyeni:2; kauge-nyerib-u-sivani:2; uc-kardes-masali:1	kauta	kawta	kaúta; kaúta,; kaúta; kautá	went	kaut [lerch_glossary_p202_r0120:entry]: fiel, 64.io; s. ra kaüta. kaüta rayer, auf den Weg fal- lend, d. h. sich auf de...	ali-agha-ladi-kelhani:a02_l08:8	kawta	kaúta	Qasim ağa 'hêt. Qasim ağa werişt bê aspar, kawta eskêri vêr,	Qasím aγá h̔ēt. Qasím aγá we̱ríšt be aspā́r, kaúta e̱skéri ver,	needs_human_review	
wena	review_high_value	wena	cut; PRS.1SG		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	7	4	uc-kardes-masali:3; kauge-nyerib-u-hyeni:2; ali-agha-ladi-kelhani:1; kauge-nyerib-u-sivani:1	wena	wêna	wén’a.; wén’a.	cut; PRS.1SG		ali-agha-ladi-kelhani:a03_l12:6	wêna	wén’a.	şyêri, ez serêy twê ena gêlankê wêna. A'hmêdi veng da va kê:	šyẹ̄́ri, e̱z sé̱rei túe ḗ̱n’a gelā́ṅke wén’a. Ah̔médi ve̱ṅg dā vā ke:	needs_human_review	
