priority	issues	entry_id	entry_display	entry_search	parent	parent_search	entry_type	entry_review_status	definition_en_review_status	definition_tr_source	definition_de	definition_en	definition_tr	raw_headword	source_page	source_row_idx	suggested_next_step
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p198_r0044:entry	Avdul’ah	avdulah			word	ocr_extracted			Personenname,			Avdul’ah	198	44	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p209_r0338:entry	D'esmüni	desmuni			word	ocr_extracted			Ortsname, 65.3. lyesmündi, Appellativ von D'es- müni. Vgl. Krm. naniik. newete pau’ftte , wachte , hielt Wache; s. Krm. nöbeti.			D'esmüni	209	338	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p208_r0295:entry	DeStei Henzi	destei henzi			phrase	ocr_extracted			Ortsname, 66 1 -2 ; s. dei'Ste.			DeStei Henzi	208	295	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p200_r0075:entry	H'aidür	haidur			word	ocr_extracted			Personenname,			H'aidür	200	75	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p211_r0394:entry	i suröt	i surot			phrase	ocr_extracted			(ar. Oj^o), Gesicht, sur, süri = sür. Syeratnr, Ortsname. syeSeme, Dienstag. Vgl. Krm. sesembe.			i suröt	211	394	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p205_r0208:entry	IV	iv			word	ocr_extracted			20-21. Teite, Ortsname, 63. l. yizmkär = krm.			IV	205	208	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p206_r0252:entry	Nerib	nerib			word	ocr_extracted			Ortsname.			Nerib	206	252	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p206_r0226:entry	Pauz	pauz			word	ocr_extracted			Ortsname, 71.5.			Pauz	206	226	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p210_r0353:entry	SaMn	samn			word	ocr_extracted			Personenname,			SaMn	210	353	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p220_r0595:entry	Wesmdn	wesmdn			word	ocr_extracted			Eigenname,			Wesmdn	220	595	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p220_r0594:entry	Weäin	weain			word	ocr_extracted			Ortsname.			Weäin	220	594	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; missing_english; likely_name_or_label; parented_but_needs_review	lerch_glossary_p197_r0013:entry	Adär	adar	adar	adar	word	headword_parented		matched_harun_headword	Monatsname; s. Abth. S. xv.		mart, yılın üçüncü ayı adar helnena, nisun naseinena,	Adär	197	13	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; missing_english; missing_turkish; likely_name_or_label; parented_but_needs_review	lerch_glossary_p198_r0031:entry	Ali	ali	Ali	ali	word	headword_parented			Personenname.			Ali	198	31	Decide whether this belongs in the public glossary or in a names/places/context index.
2	not_qa_reviewed; missing_english; likely_name_or_label; parented_but_needs_review	lerch_glossary_p209_r0344:entry	Nisän	nisan	nisun, nisan	nisun nisan	word	headword_parented		matched_harun_headword	Monatsname, s. Ahth. I, S. xv.		nisan, nisan ayı	Nisän	209	344	Decide whether this belongs in the public glossary or in a names/places/context index.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0069:entry	(mäoe	maoe			word	ocr_extracted			diese Nacht. Vgl. Krm. läev. • _			(mäoe	199	69	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0014:entry	adjr	adjr			word	ocr_extracted			Feuer. Vgl. Krm. ayjr.			adjr	197	14	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0009:entry	ageira	ageira			word	ocr_extracted			ageral, ging, war im Ge- hen begriffen, 71.8. agerai digerai, ging hin und her, 85.13.			ageira	197	9	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0001:entry	ainü	ainu			word	ocr_extracted			(türk. aJLjJ ), Spiegel,			ainü	197	1	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0008:entry	akün’a	akuna			word	ocr_extracted			(ich) ölTne; s. ken’a. akerd, akürd, öffnete, 51.8; 65.10. akürdau, ist offen,			akün’a	197	8	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0032:entry	Aldh	aldh			word	ocr_extracted			Gott,			Aldh	198	32	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0033:entry	alüsk	alusk			word	ocr_extracted			Wange,			alüsk	198	33	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0042:entry	amdneta	amdneta			word	ocr_extracted			Schützling; s. emdneta.			amdneta	198	42	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0043:entry	ammini	ammini			word	ocr_extracted			im Sommer. Vgl. Krm. havin.			ammini	198	43	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0011:entry	andün’a	anduna			word	ocr_extracted			(ich) ziehe heraus. and, zog heraus,			andün’a	197	11	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0030:entry	arbüzy	arbuzy			word	ocr_extracted			Blutigel.			arbüzy	198	30	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0025:entry	arewantf	arewantf			word	ocr_extracted			Müller, 83.3 sq.			arewantf	198	25	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0027:entry	argös	argos			word	ocr_extracted			Hase. Vgl. Krm. kerosk, kergü.			argös	198	27	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0021:entry	asfin’a	asfina			word	ocr_extracted			(ich) sehe. asdn’i, (sie) scheu, 49 . ö.			asfin’a	198	21	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0017:entry	asirän	asiran			word	ocr_extracted			vom Stamme (Tribus), zum Stamme gehörig; s. aäirüt.			asirän	197	17	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0020:entry	asän be	asan be			phrase	ocr_extracted			ruhe aus, erhole dich, .1-2 . Vgl. npers: jL), jjL l_1.			asän be	197	20	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0005:entry	aunaürike	aunaurike			word	ocr_extracted			Schakal.			aunaürike	197	5	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0045:entry	awe	awe			word	ocr_extracted			dieser, e, es; 50.4. auch aü’e.			awe	198	45	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0023:entry	azdd kdn’a	azdd kdna			phrase	ocr_extracted			(ich) befreie. Vgl. Krm. az&d kir.			azdd kdn’a	198	23	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0003:entry	aüdara	audara			word	ocr_extracted			sogleich, 50.i.			aüdara	197	3	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0002:entry	aüka	auka			word	ocr_extracted			Wasser, Quelle, Bach. Vgl. Krm. av. aüka devi, Bier,			aüka	197	2	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0469:entry	baliSrtd	balisrtd			word	ocr_extracted			Kissen,			baliSrtd	215	469	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0466:entry	bar kdn’a	bar kdna			phrase	ocr_extracted			lasse los, lasse, 62. i. Vgl Krm. ber dim.			bar kdn’a	215	466	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0468:entry	baryek	baryek			word	ocr_extracted			dünn, 3.27.			baryek	215	468	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p214_r0450:entry	bau kdli	bau kdli			phrase	ocr_extracted			Grossvater von mütter- licher Seite. S. Krm. pir. plrik, Grossvaler.			bau kdli	214	450	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p214_r0461:entry	bauk	bauk			word	ocr_extracted			Vater. Vgl. Krm. bav.			bauk	214	461	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0464:entry	bazdr	bazdr			word	ocr_extracted			Markt, Markttag,			bazdr	215	464	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0465:entry	bazjn	bazjn			word	ocr_extracted			Armband. S. Krm. bazjn.			bazjn	215	465	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0462:entry	baüni	bauni			word	ocr_extracted			sieh, 5 1 63.«; s. auhen’a.			baüni	215	462	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0477:entry	bdn’a	bdna			word	ocr_extracted			1) (ich) bin. 2) (ich) werde tragen, bringen; s. äna.			bdn’a	215	477	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0476:entry	beirakdär	beirakdar			word	ocr_extracted			Standartenträger,			beirakdär	215	476	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0478:entry	ber äekit	ber aekit			phrase	ocr_extracted			drang vor, 64 4. ber bidikni, dringet vor, 64.2.			ber äekit	215	478	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0479:entry	berd	berd			word	ocr_extracted			berdr, Bruder ; s. Krm. berd.			berd	215	479	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0472:entry	berdi	berdi			word	ocr_extracted			getragen; s. ard.			berdi	215	472	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0480:entry	bereiwi	bereiwi			word	ocr_extracted			Augenbrauen,			bereiwi	215	480	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0475:entry	bermd	bermd			word	ocr_extracted			weinte, 55. io. bermdn’a, (ich) weine, bermdye, 81. 12.			bermd	215	475	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0474:entry	bers	bers			word	ocr_extracted			berz, hoch. Vgl. npers: ez kdna berz. ich erhöhe,			bers	215	474	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0473:entry	berSau	bersau			word	ocr_extracted			schicke, 5l.ii; s. ersdu- wdn'a.			berSau	215	473	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0482:entry	biksi	biksi			word	ocr_extracted			werden tödten; s. kiädn’a. .			biksi	215	482	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0481:entry	bjkera	bjkera			word	ocr_extracted			(ich) werde machen; s. kdn’a.			bjkera	215	481	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0463:entry	bäh	bah			word	ocr_extracted			Haus, lliitle. bäni tinii, Augenlied,			bäh	215	463	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p209_r0325:entry	d'au	dau			word	ocr_extracted			Dev. Vgl. JC: daöva; altb: da6va (s. Brnf. Coinni. s. I. Y. 8, 78; Brckh. Gl. s. v.); npers: krm. dlv. Cf. Spiegel Ave- sta, Uebers, I, 6, i 0, Schlei- cher Lit. Gr. S. 87; Las- »a = nah.			d'au	209	325	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p209_r0336:entry	d'dka	ddka			word	ocr_extracted			Grossmutier,			d'dka	209	336	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0224:entry	da	da			word	ocr_extracted			Ort. Vgl. Krm. dl, di. däde ver da, warf hiD, warf bei Seite, 72.3-4. daiki, an einem Orte, irgendwo.			da	206	224	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0291:entry	daiilbe	daiilbe			word	ocr_extracted			Trommel.			daiilbe	208	291	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0288:entry	daike	daike			word	ocr_extracted			Mutter. Vgl. Krm. dl.			daike	208	288	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0290:entry	daiuin	daiuin			word	ocr_extracted			Dorfbewohner,			daiuin	208	290	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0228:entry	dal	dal			word	ocr_extracted			bitter. Vgl. Krm. tal.			dal	206	228	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0292:entry	daM	dam			word	ocr_extracted			(türk, ^ia), noch, dat.			daM	208	292	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0227:entry	dan mirdi	dan mirdi			phrase	ocr_extracted			Heldenseele,			dan mirdi	206	227	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0289:entry	dau	dau			word	ocr_extracted			Dorf. Vgl. npers: 0a.			dau	208	289	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0229:entry	debäb	debab			word	ocr_extracted			(ar. ^Jy»), Au ,wort. debäbe ken’a , debiibc dann, (ich) antworte, 50.8.			debäb	206	229	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0241:entry	denazd	denazd			word	ocr_extracted			Leiche, 65. i.			denazd	206	241	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0304:entry	dendän	dendan			word	ocr_extracted			Zahn. Vgl. Krm. dedän. des = des. des u heiät, achtzehn, des u nau, neunzehn.			dendän	208	304	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0242:entry	denen’a	denena			word	ocr_extracted			ez vizdi denen’a, ich pfeife,			denen’a	206	242	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0297:entry	desfn	desfn			word	ocr_extracted			zehnte,			desfn	208	297	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0305:entry	desmäl	desmal			word	ocr_extracted			Waschung.			desmäl	208	305	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0303:entry	deyine	deyine			word	ocr_extracted			geschieht,			deyine	208	303	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0243:entry	diei	diei			word	ocr_extracted			ma hirye hemine berä'i diei, wir alle drei sind Brüder, 50.io.			diei	206	243	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0245:entry	dinazd	dinazd			word	ocr_extracted			Leiche: s. denazd.			dinazd	206	245	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0244:entry	dit	dit			word	ocr_extracted			Pflug, Pfluggespaun. Vgl. Krm. döt. dit kdn’e, (ich) pflüge,			dit	206	244	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0314:entry	diüne	diune			word	ocr_extracted			diin, zweite,			diüne	208	314	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0311:entry	djzdei	djzdei			word	ocr_extracted			verborgen, heimlich,			djzdei	208	311	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0313:entry	dl	dl			word	ocr_extracted			sah. dia, gesehen. ez diän, diau, ich habe gesehen,			dl	208	313	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0317:entry	doyän	doyan			word	ocr_extracted			(türk,			doyän	208	317	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0007:entry	dqjl	dqjl			word	ocr_extracted			Verstand. Vgl. Krm. äqjl.			dqjl	197	7	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0022:entry	dsmye	dsmye			word	ocr_extracted			Himmel. Vgl. Krm. azmdn; cf. Pott Et. F. I, 194.			dsmye	198	22	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0315:entry	dtk	dtk			word	ocr_extracted			llabn. S. Krm. dlk.			dtk	208	315	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0323:entry	dudü	dudu			word	ocr_extracted			ein Vogel, dessen Schrei: dudü.			dudü	208	323	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0324:entry	dumä	duma			word	ocr_extracted			Höhle. S. Kuhns Zeitschrift, V, 225. dumilbäz, Trommel. dumilbäzi dai püroe, schlug die Trommel.			dumä	208	324	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0321:entry	duyüs	duyus			word	ocr_extracted			zwölf,			duyüs	208	321	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p197_r0012:entry	dya	dya			word	ocr_extracted			jener, e, es, 64.13.			dya	197	12	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0294:entry	däna	dana			word	ocr_extracted			(ich) gebe. Vgl. Krm. da. dar. Baum. Vgl. Knn. dar.			däna	208	294	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0246:entry	döan	doan			word	ocr_extracted			veri doan, einst, 71.3.			döan	206	246	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0318:entry	dödik	dodik			word	ocr_extracted			Flöte,			dödik	208	318	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p208_r0316:entry	döe	doe			word	ocr_extracted			Buttermilch,			döe	208	316	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0247:entry	dör	dor			word	ocr_extracted			Grube.			dör	206	247	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
