normalized_form	token_count	text_count	texts	variants	lemmas	best_gloss_hint	examples	review_action	review_note
hete	9	2	uc-kardes-masali:7; ali-agha-ladi-kelhani:2	'hêtê; h̔ēte; hetê; hé̱te; 'hetê	hete	with; side	ali-agha-ladi-kelhani:a02_l10:5 hetê = side | ali-agha-ladi-kelhani:a03_l09:9 'hetê = side | uc-kardes-masali:tb02_l16:9 'hêtê = with	needs_review	not_reviewed
hadre	8	3	kauge-nyerib-u-hyeni:4; kauge-nyerib-u-sivani:3; uc-kardes-masali:1	'hadre; h̔adré̱; h̔ādré̱; 'hadrê; h̔ādré	hadre	ready	kauge-nyerib-u-hyeni:h03_l01:0 'hadre = ready | kauge-nyerib-u-hyeni:h03_l07:0 'hadre = ready | kauge-nyerib-u-hyeni:h05_l05:2 'hadre = ready	needs_review	not_reviewed
roc	7	3	kauge-nyerib-u-hyeni:5; degirmenci-ve-tilki:1; kauge-nyerib-u-sivani:1	roc; rōd̮; Roc; Rōd̮; rōd̮,	rod	day(s); day; days	degirmenci-ve-tilki:mf01_l02:1 Roc = day | kauge-nyerib-u-hyeni:h06_l09:11 roc = day(s) | kauge-nyerib-u-hyeni:h06_l12:6 roc = day(s)	needs_review	not_reviewed
soba	7	3	uc-kardes-masali:5; ali-agha-ladi-kelhani:1; kauge-nyerib-u-hyeni:1	soba; so̤bā́; Soba; So̤bá; söbā́	soba	morning	ali-agha-ladi-kelhani:a04_l08:6 Soba = morning | kauge-nyerib-u-hyeni:h04_l09:2 soba = morning | uc-kardes-masali:tb05_l13:4 soba = morning	needs_review	not_reviewed
waxte	7	3	kauge-nyerib-u-hyeni:3; gespraech-mit-hassan:2; kauge-nyerib-u-sivani:2	waxtê; wáχte; waχte; wā́χte	waxte	time	gespraech-mit-hassan:h03_l02:2 waxtê = time | gespraech-mit-hassan:h03_l06:2 waxtê = time | kauge-nyerib-u-hyeni:h03_l06:9 waxtê = time	needs_review	not_reviewed
beg	7	2	kauge-nyerib-u-hyeni:6; gespraech-mit-hassan:1	beg; be̱g; Beg; Be̱g	beg	Beg, title; Beg	gespraech-mit-hassan:h02_l01:1 Beg = Beg | kauge-nyerib-u-hyeni:h04_l01:1 beg = Beg, title | kauge-nyerib-u-hyeni:h05_l05:7 beg = Beg, title	needs_review	not_reviewed
vist	7	2	kauge-nyerib-u-hyeni:5; kauge-nyerib-u-sivani:2	vist; vīst; vīst; Vist; Vīst	vist	twenty	kauge-nyerib-u-hyeni:h06_l09:10 vist = twenty | kauge-nyerib-u-hyeni:h06_l12:5 vist = twenty | kauge-nyerib-u-hyeni:h06_l14:2 vist = twenty	needs_review	not_reviewed
begiri	7	1	kauge-nyerib-u-hyeni:7	begiri; bé̱giri; bé̱giri.	begi	Beg; GOAL/RECIP	kauge-nyerib-u-hyeni:h03_l08:3 begiri = Beg; GOAL/RECIP | kauge-nyerib-u-hyeni:h04_l03:1 begiri = Beg; GOAL/RECIP | kauge-nyerib-u-hyeni:h05_l15:8 begiri = Beg; GOAL/RECIP	needs_review	not_reviewed
bu	6	2	uc-kardes-masali:4; goin-puhu-kusunun-hikayesi:2	bu; bu,; bu.; bū.; bú.	bu	be	goin-puhu-kusunun-hikayesi:g02_l09:6 bu = be | goin-puhu-kusunun-hikayesi:g03_l08:10 bu = be | uc-kardes-masali:tb02_l01:7 bu = be	needs_review	not_reviewed
cina	6	2	uc-kardes-masali:5; goin-puhu-kusunun-hikayesi:1	çına; t̮í̥na; çina; t̮ína,; t̮í̥na,	tina	cuts; is not there	goin-puhu-kusunun-hikayesi:g04_l05:9 çına = is not there | uc-kardes-masali:tb01_l09:5 çına = cuts | uc-kardes-masali:tb02_l06:5 çina = cuts	needs_review	not_reviewed
lawna	6	2	kauge-nyerib-u-sivani:4; kauge-nyerib-u-hyeni:2	lawna; launā́; launā	launa	kissed	kauge-nyerib-u-hyeni:h09_l08:3 lawna = kissed | kauge-nyerib-u-hyeni:h09_l08:9 lawna = kissed | kauge-nyerib-u-sivani:s05_l11:5 lawna = kissed	needs_review	not_reviewed
kici	6	1	uc-kardes-masali:6	kıci; ki̥d̮i; kí̥d̮i	kidi	small	uc-kardes-masali:tb01_l01:9 kıci = small | uc-kardes-masali:tb05_l13:0 kıci = small | uc-kardes-masali:tb06_l01:5 kıci = small	needs_review	not_reviewed
we	5	5	ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	we; we̱; we̱-; wê; we-	we	out-; let; and	ali-agha-ladi-kelhani:a04_l10:10 we = out- | degirmenci-ve-tilki:mf04_l10:13 we = let | kauge-nyerib-u-hyeni:h06_l06:0 we = and	needs_review	not_reviewed
alah	5	4	uc-kardes-masali:2; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1; kauge-nyerib-u-sivani:1	Alah; Aláh	alah	God	ali-agha-ladi-kelhani:a03_l13:0 Alah = God | degirmenci-ve-tilki:mf01_l01:5 Alah = God | kauge-nyerib-u-sivani:s04_l09:0 Alah = God	needs_review	not_reviewed
ge	5	4	kauge-nyerib-u-sivani:2; degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1; uc-kardes-masali:1	gê; ge-; ǵe,	ge	put on; go; occasion-	degirmenci-ve-tilki:mf03_l13:4 gê = put on | goin-puhu-kusunun-hikayesi:g02_l14:10 gê = go | kauge-nyerib-u-sivani:s04_l02:11 gê = occasion-	needs_review	not_reviewed
la	5	4	degirmenci-ve-tilki:2; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	la; la-	la	but-	degirmenci-ve-tilki:mf03_l01:3 la = but- | degirmenci-ve-tilki:mf03_l01:10 la = but- | goin-puhu-kusunun-hikayesi:g04_l01:5 la = but-	needs_review	not_reviewed
izmi	5	3	degirmenci-ve-tilki:2; kauge-nyerib-u-hyeni:2; uc-kardes-masali:1	izmi; ī́zmi; ī́zmí	izmi	permission	degirmenci-ve-tilki:mf02_l12:1 izmi = permission | degirmenci-ve-tilki:mf02_l12:9 izmi = permission | kauge-nyerib-u-hyeni:h05_l09:5 izmi = permission	needs_review	not_reviewed
nye	5	3	goin-puhu-kusunun-hikayesi:2; kauge-nyerib-u-hyeni:2; kauge-nyerib-u-sivani:1	nyê; ńe; ńe; Nyê; Ńe-	ne	not; Nerib-	goin-puhu-kusunun-hikayesi:g03_l02:7 nyê = not | goin-puhu-kusunun-hikayesi:g03_l02:10 nyê = not | kauge-nyerib-u-hyeni:h03_l08:8 nyê = not	needs_review	not_reviewed
qawi	5	3	goin-puhu-kusunun-hikayesi:2; uc-kardes-masali:2; kauge-nyerib-u-sivani:1	qawi; qaúwi; qaúwi; qaú’i	qauwi; qaui	surely; why; why?	goin-puhu-kusunun-hikayesi:g03_l06:4 qawi = surely | goin-puhu-kusunun-hikayesi:g03_l13:9 qawi = surely | kauge-nyerib-u-sivani:s01_l08:10 qawi = why?	needs_review	not_reviewed
bani	5	2	gespraech-mit-hassan:4; kauge-nyerib-u-sivani:1	bani; bā́ni	bani	houses; house	gespraech-mit-hassan:h02_l06:1 bani = houses | gespraech-mit-hassan:h02_l07:1 bani = houses | gespraech-mit-hassan:h02_l13:3 bani = houses	needs_review	not_reviewed
bera	5	2	uc-kardes-masali:4; kauge-nyerib-u-sivani:1	bêra; berá; berá; berā́; berá,	bera	brother; here	kauge-nyerib-u-sivani:s01_l10:1 bêra = here | uc-kardes-masali:tb07_l05:2 bêra = brother | uc-kardes-masali:tb07_l06:4 bêra = brother	needs_review	not_reviewed
bikeri	5	2	kauge-nyerib-u-hyeni:3; uc-kardes-masali:2	bıkêri; bi̥kéri.; bi̥kéri,; bi̥kérí,; bi̥kerí.	bi-	CONJ/FUT; fight/do	kauge-nyerib-u-hyeni:h02_l12:3 bıkêri = CONJ/FUT; fight/do | kauge-nyerib-u-hyeni:h02_l15:3 bıkêri = CONJ/FUT; fight/do | kauge-nyerib-u-hyeni:h03_l09:2 bıkêri = CONJ/FUT; fight/do	needs_review	not_reviewed
esker	5	2	kauge-nyerib-u-hyeni:3; ali-agha-ladi-kelhani:2	eskêr; e̱skér; e̱skér; Eskêr; E̱skér	esker	army; soldier	ali-agha-ladi-kelhani:a02_l07:8 eskêr = soldier | ali-agha-ladi-kelhani:a04_l06:9 Eskêr = soldier | kauge-nyerib-u-hyeni:h04_l05:7 eskêr = army	needs_review	not_reviewed
simsyeri	5	2	uc-kardes-masali:4; kauge-nyerib-u-hyeni:1	şimşyêri; šimšyẹ̄́ri; şımşyêri; ši̥mšyẹ̄́ri	simsyeri	sword	kauge-nyerib-u-hyeni:h02_l01:7 şımşyêri = sword | uc-kardes-masali:tb08_l13:1 şimşyêri = sword | uc-kardes-masali:tb08_l14:9 şimşyêri = sword	needs_review	not_reviewed
byaru	5	1	uc-kardes-masali:5	byaru; biáru.	biaru	bring	uc-kardes-masali:tb03_l11:2 byaru = bring | uc-kardes-masali:tb03_l14:4 byaru = bring | uc-kardes-masali:tb05_l13:8 byaru = bring	needs_review	not_reviewed
eystu	5	1	goin-puhu-kusunun-hikayesi:5	êyştu; eíštu	eistu	threw	goin-puhu-kusunun-hikayesi:g02_l07:0 êyştu = threw | goin-puhu-kusunun-hikayesi:g02_l08:10 êyştu = threw | goin-puhu-kusunun-hikayesi:g02_l10:11 êyştu = threw	needs_review	not_reviewed
kawgaw	5	1	kauge-nyerib-u-hyeni:5	kawğaw; kauγaú.; kauγaú,	kaugau	fought	kauge-nyerib-u-hyeni:h03_l04:2 kawğaw = fought | kauge-nyerib-u-hyeni:h03_l07:6 kawğaw = fought | kauge-nyerib-u-hyeni:h03_l13:6 kawğaw = fought	needs_review	not_reviewed
laceki	5	1	goin-puhu-kusunun-hikayesi:5	lacêki; lā́d̮eki; lā́d̮eki	ladeki	of the boy	goin-puhu-kusunun-hikayesi:g03_l05:3 lacêki = of the boy | goin-puhu-kusunun-hikayesi:g03_l14:1 lacêki = of the boy | goin-puhu-kusunun-hikayesi:g03_l15:5 lacêki = of the boy	needs_review	not_reviewed
nost	5	1	uc-kardes-masali:5	noşt; no̤št,; no̤št:; nošt,; nöšt,	nost	wrote	uc-kardes-masali:tb03_l01:6 noşt = wrote | uc-kardes-masali:tb03_l09:0 noşt = wrote | uc-kardes-masali:tb04_l13:3 noşt = wrote	needs_review	not_reviewed
nostu	5	1	uc-kardes-masali:5	noştu; nó̤štu; no̤štu; no̤štu,; nó̤štu.	nostu	wrote	uc-kardes-masali:tb03_l05:10 noştu = wrote | uc-kardes-masali:tb03_l12:7 noştu = wrote | uc-kardes-masali:tb05_l05:2 noştu = wrote	needs_review	not_reviewed
taalan	5	1	kauge-nyerib-u-sivani:5	taalan; tá’alan	taalan	plunder	kauge-nyerib-u-sivani:s03_l11:12 taalan = plunder | kauge-nyerib-u-sivani:s03_l13:6 taalan = plunder | kauge-nyerib-u-sivani:s05_l01:8 taalan = plunder	needs_review	not_reviewed
sebah	4	4	degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	sêbah; Sêbah; sebáh; Sebáh; sebāh	sebah	morning	degirmenci-ve-tilki:mf01_l03:0 sêbah = morning | goin-puhu-kusunun-hikayesi:g02_l07:2 Sêbah = morning | kauge-nyerib-u-hyeni:h07_l09:1 sêbah = morning	needs_review	not_reviewed
su	4	4	degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	şu; šu; šu; su; su-	su	went; shepherds-	degirmenci-ve-tilki:mf05_l08:5 şu = went | goin-puhu-kusunun-hikayesi:g02_l06:2 şu = went | kauge-nyerib-u-sivani:s05_l01:10 su = shepherds-	needs_review	not_reviewed
vinde	4	4	degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	vındê; vindê; vínde,; ví̥nde.; ví̥nde,	vinde	stay	degirmenci-ve-tilki:mf04_l14:4 vindê = stay | goin-puhu-kusunun-hikayesi:g03_l02:12 vındê = stay | kauge-nyerib-u-sivani:s04_l02:8 vındê = stay	needs_review	not_reviewed
bigi	4	3	kauge-nyerib-u-sivani:2; degirmenci-ve-tilki:1; uc-kardes-masali:1	bıgi; bi̥ǵí,; bigi; bigí,; bi̥ǵí,	bi-	CONJ/FUT; lead/take	degirmenci-ve-tilki:mf05_l03:3 bigi = CONJ/FUT; lead/take | kauge-nyerib-u-sivani:s02_l06:1 bıgi = CONJ/FUT; lead/take | kauge-nyerib-u-sivani:s02_l09:4 bıgi = CONJ/FUT; lead/take	needs_review	not_reviewed
cewi	4	3	kauge-nyerib-u-hyeni:2; ali-agha-ladi-kelhani:1; kauge-nyerib-u-sivani:1	çewi; t̮é̱wi; t̮é̱wi; t̮é̱wi	tewi	no one	ali-agha-ladi-kelhani:a01_l03:6 çewi = no one | kauge-nyerib-u-hyeni:h05_l08:0 çewi = no one | kauge-nyerib-u-hyeni:h06_l06:3 çewi = no one	needs_review	not_reviewed
gerawte	4	3	uc-kardes-masali:2; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1	gêrawtê; geraúte; geraúte; geraúte,	geraute	took	ali-agha-ladi-kelhani:a04_l01:9 gêrawtê = took | degirmenci-ve-tilki:mf02_l02:7 gêrawtê = took | uc-kardes-masali:tb09_l14:0 gêrawtê = took	needs_review	not_reviewed
lingeru	4	3	kauge-nyerib-u-sivani:2; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	lingêru; língeru.; língeru,; líṅgeru; líṅgeru,	lingeru	feet	degirmenci-ve-tilki:mf05_l01:2 lingêru = feet | kauge-nyerib-u-hyeni:h09_l08:6 lingêru = feet | kauge-nyerib-u-sivani:s05_l11:8 lingêru = feet	needs_review	not_reviewed
teber	4	3	ali-agha-ladi-kelhani:2; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	tebêr; te̱bér,; te̱bér,	teber	outside	ali-agha-ladi-kelhani:a03_l06:8 tebêr = outside | ali-agha-ladi-kelhani:a03_l08:1 tebêr = outside | degirmenci-ve-tilki:mf03_l03:7 tebêr = outside	needs_review	not_reviewed
akerd	4	2	uc-kardes-masali:3; kauge-nyerib-u-sivani:1	akêrd; akerd; ākérd,; āké̱rd,; aké̱rd,	akerd	opened	kauge-nyerib-u-sivani:s01_l03:3 akêrd = opened | uc-kardes-masali:tb03_l05:4 akerd = opened | uc-kardes-masali:tb03_l12:2 akerd = opened	needs_review	not_reviewed
dumilbazi	4	2	kauge-nyerib-u-sivani:3; kauge-nyerib-u-hyeni:1	dümilbazi; dṳ́milbā́zi; dumilbazi; dúmilbā́zi; Dumilbazi	dumilbazi	drum	kauge-nyerib-u-hyeni:h04_l11:5 dumilbazi = drum | kauge-nyerib-u-sivani:s03_l05:0 Dumilbazi = drum | kauge-nyerib-u-sivani:s04_l05:5 dümilbazi = drum	needs_review	not_reviewed
eru	4	2	degirmenci-ve-tilki:2; uc-kardes-masali:2	eru; é̱ru,; é̱ru.	eru	earth	degirmenci-ve-tilki:mf05_l07:6 eru = earth | degirmenci-ve-tilki:mf05_l08:11 eru = earth | uc-kardes-masali:tb09_l04:0 eru = earth	needs_review	not_reviewed
ka	4	2	kauge-nyerib-u-sivani:2; uc-kardes-masali:2	ka; ka-; ka,	ka	would	kauge-nyerib-u-sivani:s05_l14:2 ka = would | kauge-nyerib-u-sivani:s05_l14:9 ka = would | uc-kardes-masali:tb03_l11:10 ka = would	needs_review	not_reviewed
qamek	4	2	degirmenci-ve-tilki:3; kauge-nyerib-u-hyeni:1	qamêk; qā́mek; qāmek; qā́meḱ	qamek	some; whoever	degirmenci-ve-tilki:mf04_l05:3 qamêk = some | degirmenci-ve-tilki:mf04_l05:9 qamêk = some | degirmenci-ve-tilki:mf04_l06:3 qamêk = some	needs_review	not_reviewed
teni	4	2	ali-agha-ladi-kelhani:3; kauge-nyerib-u-hyeni:1	teni; té̱ni; têni; tén’i	teni	persons	ali-agha-ladi-kelhani:a04_l04:9 teni = persons | ali-agha-ladi-kelhani:a04_l06:5 teni = persons | ali-agha-ladi-kelhani:a04_l10:4 teni = persons	needs_review	not_reviewed
vaci	4	2	uc-kardes-masali:3; gespraech-mit-hassan:1	vaci; vā́d̮i; vā́d̮i	vadi	say; tell	gespraech-mit-hassan:h03_l15:2 vaci = tell | uc-kardes-masali:tb06_l08:4 vaci = say | uc-kardes-masali:tb07_l14:8 vaci = say	needs_review	not_reviewed
vesnay	4	2	kauge-nyerib-u-sivani:3; kauge-nyerib-u-hyeni:1	veşnay; ve̱šnaí,; vé̱šnai,; ve̱šnai,	vesnai	burned	kauge-nyerib-u-hyeni:h05_l13:1 veşnay = burned | kauge-nyerib-u-sivani:s03_l08:6 veşnay = burned | kauge-nyerib-u-sivani:s03_l11:11 veşnay = burned	needs_review	not_reviewed
vesnena	4	2	kauge-nyerib-u-hyeni:3; kauge-nyerib-u-sivani:1	veşnêna; ve̱šnén’a,; vêşnêna; vešnén’a.; ve̱šnén’a.	vesnena	I will burn	kauge-nyerib-u-hyeni:h04_l04:2 vêşnêna = I will burn | kauge-nyerib-u-hyeni:h06_l01:6 veşnêna = I will burn | kauge-nyerib-u-hyeni:h06_l11:1 veşnêna = I will burn	needs_review	not_reviewed
warzi	4	2	uc-kardes-masali:3; kauge-nyerib-u-hyeni:1	warzi; wárzi,; wārzi,; wárzi	warzi	get up; rise	kauge-nyerib-u-hyeni:h05_l07:2 warzi = rise | uc-kardes-masali:tb01_l03:10 warzi = get up | uc-kardes-masali:tb01_l07:3 warzi = get up	needs_review	not_reviewed
wesi	4	2	kauge-nyerib-u-hyeni:2; kauge-nyerib-u-sivani:2	weşi; weşı; wé̱ši̥; wé̱ši,; wé̱ši	wesi	reconciliation	kauge-nyerib-u-hyeni:h09_l06:7 weşı = reconciliation | kauge-nyerib-u-hyeni:h09_l10:8 weşi = reconciliation | kauge-nyerib-u-sivani:s05_l08:10 weşi = reconciliation	needs_review	not_reviewed
yawna	4	2	uc-kardes-masali:3; goin-puhu-kusunun-hikayesi:1	yawna; yaúna; yaúna; yaū́na	yauna	another	goin-puhu-kusunun-hikayesi:g01_l02:7 yawna = another | uc-kardes-masali:tb01_l04:6 yawna = another | uc-kardes-masali:tb03_l08:8 yawna = another	needs_review	not_reviewed
bya	4	1	gespraech-mit-hassan:4	bya; bía;; bía,; bía.	bia	was	gespraech-mit-hassan:h03_l11:2 bya = was | gespraech-mit-hassan:h03_l11:12 bya = was | gespraech-mit-hassan:h03_l12:8 bya = was	needs_review	not_reviewed
eman	4	1	kauge-nyerib-u-hyeni:4	eman; e̱mán; e̱mán,	eman	mercy	kauge-nyerib-u-hyeni:h05_l14:5 eman = mercy | kauge-nyerib-u-hyeni:h06_l02:8 eman = mercy | kauge-nyerib-u-hyeni:h08_l07:7 eman = mercy	needs_review	not_reviewed
heyst	4	1	ali-agha-ladi-kelhani:4	hêyşt; 'hêyşt; h̔eíšt; heišt; heíšt	heist	eight	ali-agha-ladi-kelhani:a04_l06:4 'hêyşt = eight | ali-agha-ladi-kelhani:a04_l08:0 hêyşt = eight | ali-agha-ladi-kelhani:a04_l10:3 hêyşt = eight	needs_review	not_reviewed
hiris	4	1	ali-agha-ladi-kelhani:4	hiris; híris; Hiris; Híris	hiris	thirty	ali-agha-ladi-kelhani:a01_l02:9 hiris = thirty | ali-agha-ladi-kelhani:a01_l04:7 Hiris = thirty | ali-agha-ladi-kelhani:a01_l05:1 Hiris = thirty	needs_review	not_reviewed
kasan	4	1	gespraech-mit-hassan:4	Kasan; Kasán; Kasán,	kasan	Kasan	gespraech-mit-hassan:h01_l09:6 Kasan = Kasan | gespraech-mit-hassan:h02_l05:0 Kasan = Kasan | gespraech-mit-hassan:h02_l06:3 Kasan = Kasan	needs_review	not_reviewed
mina	4	1	uc-kardes-masali:4	mina; mína; mına; mí̥na	mina	my	uc-kardes-masali:tb03_l10:6 mına = my | uc-kardes-masali:tb05_l12:9 mina = my | uc-kardes-masali:tb06_l01:4 mina = my	needs_review	not_reviewed
nang	4	1	uc-kardes-masali:4	nang; nāṅ	nan	food	uc-kardes-masali:tb04_l05:4 nang = food | uc-kardes-masali:tb04_l06:0 nang = food | uc-kardes-masali:tb06_l12:3 nang = food	needs_review	not_reviewed
nyeribu	4	1	kauge-nyerib-u-hyeni:4	Nyêribu; Ńeríbu; Ńeríbu,	neribu	to Nerib	kauge-nyerib-u-hyeni:h02_l10:0 Nyêribu = to Nerib | kauge-nyerib-u-hyeni:h02_l12:8 Nyêribu = to Nerib | kauge-nyerib-u-hyeni:h03_l05:8 Nyêribu = to Nerib	needs_review	not_reviewed
pasade	4	1	degirmenci-ve-tilki:4	paşadê; pašáde	pasade	of the pasha	degirmenci-ve-tilki:mf02_l04:5 paşadê = of the pasha | degirmenci-ve-tilki:mf02_l05:9 paşadê = of the pasha | degirmenci-ve-tilki:mf02_l07:4 paşadê = of the pasha	needs_review	not_reviewed
peynyay	4	1	kauge-nyerib-u-sivani:4	pêynyay; peíńai; peíńai; peińai	peinai	all	kauge-nyerib-u-sivani:s02_l14:1 pêynyay = all | kauge-nyerib-u-sivani:s04_l09:6 pêynyay = all | kauge-nyerib-u-sivani:s05_l07:1 pêynyay = all	needs_review	not_reviewed
qabas	4	1	uc-kardes-masali:4	qabas; Qabas; Qabás; qabā́s; qabās	qabas	captain	uc-kardes-masali:tb08_l09:6 qabas = captain | uc-kardes-masali:tb08_l10:5 Qabas = captain | uc-kardes-masali:tb08_l11:5 qabas = captain	needs_review	not_reviewed
sahrestan	4	1	kauge-nyerib-u-hyeni:4	şahrêstan; šahrestān; šáhrestān; šahrestā́n	sahrestan	town	kauge-nyerib-u-hyeni:h03_l10:9 şahrêstan = town | kauge-nyerib-u-hyeni:h04_l04:1 şahrêstan = town | kauge-nyerib-u-hyeni:h06_l01:5 şahrêstan = town	needs_review	not_reviewed
selam	4	1	degirmenci-ve-tilki:4	sêlam; selám	selam	greeting	degirmenci-ve-tilki:mf03_l08:6 sêlam = greeting | degirmenci-ve-tilki:mf04_l02:5 sêlam = greeting | degirmenci-ve-tilki:mf04_l04:5 sêlam = greeting	needs_review	not_reviewed
